names,population,state_code,lat,lon
afega,1895,00,-13.8,-171.8166667
afenga,,00,-13.8,-171.8166667
afiamalu,,00,-13.9166667,-171.7166667
aganoa,,00,-14.0333333,-171.7833333
ahners,,00,-13.8333333,-171.75
alaloa,,00,-13.8166667,-171.9166667
amaile,221,00,-13.95,-171.3833333
amvalea,,00,-13.4666667,-172.6
aopo,390,00,-13.4833333,-172.5
apia,40407,00,-13.8333333,-171.7333333
asaga,337,00,-13.5833333,-172.1333333
asaua,,00,-13.4666667,-172.5833333
asauana,,00,-13.8833333,-171.5166667
atoe,,00,-13.9166667,-171.5166667
auala,574,00,-13.4666667,-172.6
aufaga,459,00,-14.0166667,-171.4666667
avao,276,00,-13.45,-172.3666667
avata,302,00,-13.4833333,-172.7833333
etemuli,,00,-14.0166667,-171.5
eva,266,00,-13.8666667,-171.5833333
faga,,00,-13.65,-172.1333333
fagafau,273,00,-13.5833333,-172.65
fagaiofu,,00,-13.95,-171.9666667
fagali`i,,00,-13.8333333,-171.7166667
fagaloa,,00,-13.75,-172.5166667
fagamalo,294,00,-13.4166667,-172.35
faiaai,421,00,-13.6333333,-172.6333333
falealupo,518,00,-13.5,-172.8
faleapuna,584,00,-13.8666667,-171.5666667
faleapunga,,00,-13.8666667,-171.5666667
falease`ela,,00,-13.9166667,-171.9333333
faleasi`u,,00,-13.8,-171.8833333
faleata,,00,-13.8166667,-171.7833333
faleatiu,847,00,-13.8166667,-171.9333333
falefa,1346,00,-13.8833333,-171.55
falelatai,,00,-13.9166667,-171.9833333
falelatai reef,,00,-13.9333333,-172.0333333
falelima,416,00,-13.5333333,-172.6833333
faleolo,16,00,-13.8166667,-171.9833333
falepouma`a,,00,-13.9166667,-171.7
falepuga,,00,-13.85,-172.0333333
falepuna,,00,-13.8666667,-171.5666667
faleula,2592,00,-13.8,-171.8
faleulu,,00,-13.95,-171.4166667
falevai,202,00,-13.9166667,-171.9833333
falevao,552,00,-13.9,-171.5333333
falifa,,00,-13.8833333,-171.55
falula,,00,-13.8,-171.8
fangalii,,00,-13.8333333,-171.7166667
fasito`otai,,00,-13.8166667,-171.9333333
fasitoouta,2098,00,-13.8166667,-171.9166667
fasitouta,,00,-13.8166667,-171.9166667
fatuvalu,170,00,-13.4666667,-172.4166667
fausaga,303,00,-14.0166667,-171.8
foailalo,,00,-13.6666667,-172.5666667
foailuga,,00,-13.6666667,-172.55
foa lalo,,00,-13.6666667,-172.5666667
foalelo,,00,-13.6666667,-172.5666667
foa luga,,00,-13.6666667,-172.55
fogasavaii,380,00,-13.6333333,-172.6
fogatuli,273,00,-13.6166667,-172.6166667
fogosa vaii,,00,-13.6333333,-172.6
fuailalo,,00,-13.8333333,-172.0166667
fusi,447,00,-14.0,-171.8
gagaemalae,,00,-13.6666667,-172.5666667
gaitavai,,00,-13.75,-172.3833333
gaogao,,00,-14.0166667,-171.6333333
gataivai,1141,00,-13.75,-172.3833333
gautavai,171,00,-13.75,-172.3666667
iliili,30,00,-14.0166667,-171.7
iva,,00,-13.6833333,-172.1666667
lalomalava,399,00,-13.7,-172.1333333
lalomanu,704,00,-14.0,-171.4
lalomauga,406,00,-13.9,-171.5666667
lalovi,322,00,-13.85,-172.0333333
lanafala,,00,-13.9,-171.75
lano,706,00,-13.6,-172.1333333
lara lafa,,00,-13.85,-171.7333333
lataiuta,,00,-13.7166667,-172.5166667
lata,,00,-14.0166667,-171.3833333
lauli`i,,00,-13.85,-171.6833333
lauo,,00,-13.6,-172.1333333
leagiaga,,00,-13.45,-172.4
leagiagi,124,00,-13.45,-172.4
lealaalii,,00,-13.8,-171.9
leauva`a,,00,-13.8,-171.85
leava`a,,00,-13.8,-171.85
leaveave,,00,-13.7333333,-172.5333333
lefaga,,00,-14.0333333,-171.45
lelepa,213,00,-13.45,-172.3333333
lepa,172,00,-14.0,-171.45
lepea,,00,-13.8333333,-171.7833333
letaupe,,00,-14.0166667,-171.5333333
letogo,533,00,-13.8333333,-171.7
letongo,,00,-13.8333333,-171.7
letui,273,00,-13.4666667,-172.4666667
leulumoega,1458,00,-13.8166667,-171.9166667
leulumoenga,,00,-13.8166667,-171.9166667
leusoalii,371,00,-13.85,-171.6666667
levi,125,00,-13.8,-171.85
lona,218,00,-13.9166667,-171.4666667
lotofaga,1126,00,-13.9833333,-171.8333333
lotofanga,,00,-13.9833333,-171.8333333
luatuanu`u,,00,-13.85,-171.65
lufilufi,1074,00,-13.85,-171.5833333
maasina,160,00,-13.9166667,-171.5
maauga,,00,-13.8166667,-171.9333333
mafafa,,00,-13.9333333,-171.95
magiagi,,00,-13.85,-171.7166667
magia,,00,-13.8166667,-171.9666667
malaemalu,,00,-14.0166667,-171.6166667
malaeola,,00,-13.4833333,-172.25
malaetele,,00,-13.4833333,-172.7833333
malauli,,00,-13.8333333,-171.7333333
malie,2189,00,-13.8,-171.8166667
malivai,,00,-14.0166667,-171.8
malololelei,,00,-13.9,-171.75
malua,371,00,-13.8,-171.8833333
manase,158,00,-13.4333333,-172.3666667
mangia,,00,-13.8166667,-171.9666667
maniani,,00,-13.8333333,-171.7666667
maninoa,366,00,-14.0166667,-171.7833333
manunu,284,00,-13.9,-171.5666667
masima,,00,-13.9166667,-171.5
matafangatele,,00,-13.8333333,-171.7166667
matafele,,00,-13.8166667,-171.7666667
matailiili,,00,-13.8,-171.9166667
matanofo,80,00,-13.9166667,-171.9833333
matapunga,,00,-13.85,-172.0333333
matatufu,397,00,-14.0166667,-171.5333333
matautu,203,00,-13.8166667,-171.7333333
matavai,,00,-13.4666667,-172.5833333
moamoa,,00,-13.8,-171.9
moata`a,,00,-13.8166667,-171.7166667
mootaa,,00,-13.8166667,-171.7166667
motootua,,00,-13.8333333,-171.7666667
muliatele,,00,-13.9833333,-171.3666667
mulifanua,,00,-13.8333333,-171.9833333
mulinuu,,00,-13.8166667,-171.75
mulivai,449,00,-14.0166667,-171.8
musumusu,75,00,-13.8833333,-171.5
mutiatele,283,00,-13.9833333,-171.3666667
nallutatu,,00,-13.9833333,-171.8333333
namoa,,00,-14.0166667,-171.8
namo,,00,-13.8666667,-171.6333333
naneiri,,00,-13.8833333,-171.55
naneivi,,00,-13.8833333,-171.55
nefunefu,141,00,-13.9166667,-172.0
neiafu,,00,-13.5166667,-172.7166667
niusuatia,331,00,-13.9666667,-171.8
nofoalii,1828,00,-13.8166667,-171.9166667
nuisuatia,,00,-13.9666667,-171.8
nu`u,,00,-13.7666667,-172.4333333
nuusuatia,,00,-13.9666667,-171.8
olofetu,,00,-13.4666667,-172.65
paia,308,00,-13.4666667,-172.4
palauli,,00,-13.7333333,-172.2666667
papaloloa,,00,-13.85,-171.7166667
papa,284,00,-13.4666667,-172.7
papaseea,,00,-13.85,-171.75
patamea,597,00,-13.4833333,-172.2666667
pata,549,00,-13.9166667,-171.9833333
piula,,00,-13.85,-171.55
piu,69,00,-14.0,-171.5666667
poutasi,378,00,-14.0166667,-171.6833333
pu`apu`a,,00,-13.5833333,-172.2166667
pui pau,,00,-13.8,-171.8
puleia,262,00,-13.75,-172.35
saaga,490,00,-14.0166667,-171.7833333
saanapu,,00,-13.9833333,-171.8666667
saasaai,520,00,-13.6166667,-172.1333333
saautaua,,00,-13.9833333,-171.8333333
safaato`a,,00,-13.9333333,-171.9333333
safa,,00,-13.45,-172.3333333
safatulafei,,00,-13.6666667,-172.1166667
safotulafai,,00,-13.6666667,-172.1166667
safotulafei,,00,-13.6666667,-172.1166667
safotu,1207,00,-13.45,-172.4
safune,,00,-13.4666667,-172.4166667
sagapolu,,00,-13.8833333,-171.55
sagapulo,,00,-13.8833333,-171.55
sagone,776,00,-13.65,-172.5833333
saina,230,00,-13.8166667,-171.7833333
saipipi,705,00,-13.6166667,-172.1333333
sala`ilua,,00,-13.6833333,-172.5666667
salamumu,,00,-13.9666667,-171.9166667
salani,524,00,-14.0,-171.55
saleaaumua,544,00,-13.9666667,-171.3666667
salealua,,00,-13.6833333,-172.5666667
saleamua,,00,-13.9666667,-171.3666667
saleapaga,,00,-13.8666667,-171.5333333
saleaula,597,00,-13.4333333,-172.3333333
saleaumua,,00,-13.9666667,-171.3666667
saleia,275,00,-13.45,-172.3666667
saleilua,604,00,-14.0166667,-171.7
sale`imoa,,00,-13.8,-171.8666667
salelavalu,,00,-13.7166667,-172.15
salelesi,411,00,-13.8666667,-171.5833333
salelologa,,00,-13.7333333,-172.1666667
salelolonga,,00,-13.7333333,-172.1666667
salepoua`e,,00,-13.8,-171.85
salesatele,330,00,-14.0,-171.5666667
salesulumua,,00,-13.8166667,-171.9666667
saletele,160,00,-13.8833333,-171.5166667
salimu,250,00,-13.65,-172.1166667
saluafata,,00,-13.8666667,-171.5666667
sama`i,,00,-13.9166667,-171.9666667
samalaeulu,789,00,-13.4666667,-172.2666667
samamea,89,00,-13.9,-171.4666667
samataitai,,00,-13.6,-172.6333333
samata,,00,-13.6,-172.6333333
samatau,939,00,-13.9,-172.0333333
samauga,289,00,-13.9166667,-171.5666667
samea,150,00,-13.8333333,-172.0166667
samusu,686,00,-13.9666667,-171.3666667
saninoga,,00,-13.9333333,-171.8166667
sanonu,,00,-13.8666667,-171.5333333
sapapalii,877,00,-13.6833333,-172.1166667
sapo`e,,00,-14.0166667,-171.55
sapulu,957,00,-13.8,-171.8833333
sapunaoa,408,00,-14.0,-171.5666667
sasaai,,00,-13.6166667,-172.1333333
sasina,566,00,-13.45,-172.4333333
satalo,356,00,-14.0166667,-171.5833333
sataoa,,00,-13.9833333,-171.8333333
satapuala,1412,00,-13.8333333,-171.9666667
sataputu,,00,-13.4833333,-172.25
sataua,771,00,-13.4666667,-172.6666667
satavae,,00,-13.8166667,-171.9666667
satitoa,522,00,-13.9833333,-171.3666667
satoalepai,235,00,-13.45,-172.3333333
satufia,,00,-13.7666667,-172.3
satuiatua,304,00,-13.6833333,-172.55
satui,,00,-13.8166667,-171.9166667
satupa`itea,,00,-13.75,-172.3
sauago,,00,-13.8833333,-171.5166667
sauango,,00,-13.8833333,-171.5166667
sauano,,00,-13.8833333,-171.5166667
saumaga,,00,-13.4333333,-172.4
sauniatu,81,00,-13.9166667,-171.5666667
savaia,395,00,-13.9333333,-171.9333333
savai`i,,00,-13.4666667,-172.4
savalalo,,00,-13.8166667,-171.7666667
sili,868,00,-13.7166667,-172.35
siu`faga,,00,-13.9,-172.0333333
si`umu,,00,-14.0166667,-171.7833333
siuniu,104,00,-14.0,-171.55
siupapa,53,00,-14.0166667,-171.45
siusega,2226,00,-13.8333333,-171.8166667
siutu,648,00,-13.6833333,-172.55
siuvao,,00,-13.5666667,-172.6666667
sogi,,00,-13.8166667,-171.7666667
solomea,,00,-13.4833333,-172.2
solosolo,1487,00,-13.85,-171.6
songi,,00,-13.8166667,-171.7666667
suga,,00,-13.8333333,-171.7166667
taelefaga,183,00,-13.9166667,-171.5166667
tafagamanu,314,00,-13.95,-171.9166667
tafatafa,224,00,-14.0166667,-171.65
tafitoala,393,00,-14.0166667,-171.8
tafua,403,00,-13.7833333,-172.2166667
taga,680,00,-13.7666667,-172.4666667
tanugamanono,,00,-13.8333333,-171.7666667
tanumamanono,,00,-13.8333333,-171.7666667
tanuoa,,00,-13.8,-171.9
tapueleele,228,00,-13.6333333,-172.1666667
taumuafa,,00,-13.8333333,-171.7833333
tiapapata,,00,-13.8833333,-171.7333333
tiapepe,,00,-13.8,-171.7833333
ti' avea,,00,-13.95,-171.4
tiavi,,00,-13.9166667,-171.75
tifitifi,,00,-13.8166667,-171.9833333
toamua,778,00,-13.8,-171.7833333
toloa,,00,-13.8166667,-171.9833333
tuamua,,00,-13.8,-171.7833333
tuana`i,,00,-13.8,-171.8333333
tuasavi,,00,-13.6666667,-172.1166667
tuasivi,365,00,-13.6666667,-172.1166667
tufulele,905,00,-13.8,-171.8833333
tufutafoe,330,00,-13.4833333,-172.7666667
