names,population,state_code,lat,lon
abadila,,06,13.7,44.6666667
`abadilah,,06,13.7,44.6666667
abadiya,,15,16.85,43.1833333
abadiyah,,15,16.85,43.1833333
`abadiyah `ulya,,08,14.0391667,43.4905556
`abaiyah,,14,14.75,45.6666667
abal,,08,14.9877778,43.5422222
`abas,,07,14.3375,45.15
abasir,,11,14.4297222,44.5047222
abassi,,08,14.5833333,43.2333333
abassir,,11,14.6,44.4666667
abawil,,06,13.8397222,44.8586111
`abban,,16,16.4,44.0833333
`abbas,,07,14.3941667,44.9472222
`abbasi,,08,14.5833333,43.2333333
`abd allah,,11,14.8,44.3666667
`abd allah `abdo,,08,14.9,43.1166667
`abd allah `abduh,,08,14.9,43.1166667
`abd allah gharib,,03,16.3333333,52.3166667
`abd al majid,,06,12.9983333,43.8491667
`abd al-waqi,,04,16.5,48.8333333
abdam,,17,13.6833333,44.3333333
`abdan,,17,13.6833333,44.3333333
`abis,,14,14.5208333,45.375
`ablah,,14,14.5666667,45.65
abrak,,16,15.9666667,43.9166667
`abs,,12,16.0027778,43.1966667
abu `amir,,01,13.3863889,45.4130556
abu bakr,,17,13.3352778,44.245
abubertan,,08,14.6333333,43.4333333
abu da`qi,,15,16.9833333,43.6666667
abu diyan,,04,15.8344444,48.6675
abu hajirah,,13,14.3325,44.1072222
`abus,,17,13.3833333,43.3833333
abu zahr,,08,13.8366667,43.2377778
abyad,,06,13.0391667,44.3180556
abyadain ba `amr,,04,15.0833333,48.1
abyadayn ba `amr,,04,15.0833333,48.1
abyat al a`la,,08,14.7811111,43.1294444
`adab,,04,15.6166667,48.3177778
`adab bir bahmain,,04,15.6166667,48.3177778
`adab bi'r bahmayn,,04,15.6166667,48.3177778
adamat,,17,13.75,44.25
adamate,,17,13.75,44.25
`adan,,01,13.8666667,45.95
`adan,,02,12.7794444,45.0366667
`adan,,17,13.5,43.95
`adan al ashluh,,13,13.8416667,44.225
`adan as safa,,17,13.6961111,43.7538889
`adan as sughra,,02,12.7488889,44.8838889
`adan barakah,,17,13.8333333,43.7833333
`adar,,16,14.9680556,44.2166667
adarhissar,,17,13.85,43.7333333
adarib,,13,13.9,44.4333333
ad dabah,,04,15.0,47.1833333
ad dabarah,,08,14.56,43.3952778
ad dabaratayn,,08,14.5855556,43.3866667
ad dabaratayn al mahasim,,08,14.5766667,43.3891667
ad dabbah,,11,14.5666667,44.1666667
ad dabbah,,16,15.2,44.2333333
ad dabbat,,16,15.4666667,44.3666667
ad dabi,,06,13.7166667,44.85
ad dabi,,16,15.2,44.2333333
ad dabiah,,12,16.0833333,43.3333333
ad dabra,,06,13.5833333,45.0
ad dabr,,16,15.1333333,44.2666667
ad dabrah,,06,13.5833333,45.0
ad dabratayn,,12,16.4297222,43.0161111
ad dabyah,,06,13.7166667,44.85
ad dafa',,16,15.1794444,43.8236111
ad daff,,01,14.3666667,46.4333333
ad dafir,,10,15.5166667,43.9166667
ad daghah,,11,14.7,44.5416667
ad dagma,,14,14.9833333,45.8
ad dahah,,06,13.4680556,44.9444444
ad dahaki,,14,14.0375,45.6166667
ad dahana,,13,13.9,44.1833333
ad dahan,,13,13.7666667,44.3166667
ad dahanah,,13,13.9,44.1833333
ad dahar,,06,13.7333333,44.8833333
ad dahfiyah,,08,14.5438889,43.1786111
ad dahhan,,13,13.7666667,44.3166667
ad dahi,,08,15.2152778,43.0688889
ad dahira,,06,13.7833333,44.8666667
ad dahir,,08,15.1538889,43.2944444
ad dahirah,,14,14.8,47.0833333
ad dahiyah,,08,13.8686111,43.4147222
ad dahl,,09,16.7136111,44.8919444
ad dahma',,04,14.8333333,48.4833333
ad dahqah,,04,15.9166667,48.65
ad dahra,,13,14.05,44.45
ad dahr,,12,15.545,43.3241667
ad dahr,,16,16.5525,43.8763889
ad dahrah,,08,15.0,43.2833333
ad dahrah,,13,14.05,44.45
ad dahrah,,16,14.9316667,43.8666667
ad daimah,,14,15.0333333,45.8
ad da'ir,,16,15.0738889,43.8458333
ad dakhlah,,01,13.8833333,45.9833333
ad dakhlah,,17,13.7833333,44.4833333
ad dali`,,06,13.6966667,44.7308333
ad dali`ah,,04,15.0166667,48.0166667
ad dalifah,,17,13.7161111,43.7841667
ad damah,,08,14.5241667,43.355
ad damdam,,17,13.1377778,43.9188889
ad damiah,,14,14.5833333,46.1166667
ad damigh,,08,14.7522222,43.4586111
ad damim,,13,14.2919444,44.1966667
ad danaba,,17,13.0666667,43.7833333
ad danabah,,06,13.4447222,44.8077778
ad dan,,11,14.3522222,43.8577778
ad danapteno,,17,13.7166667,44.1166667
ad danba,,06,13.2166667,44.3333333
ad danbah,,06,13.2166667,44.3333333
ad danib,,17,13.36,44.2994444
ad dann,,11,14.3522222,43.8577778
ad daqawanah,,08,15.0666667,43.1
ad daqawinah,,08,15.0666667,43.1
ad daqqah,,06,13.5280556,44.8855556
ad dar,,11,14.7952778,43.8819444
ad dar,,13,13.8833333,44.2166667
ad dar,,14,14.95,45.8
ad dar,,17,13.7,43.8333333
ad daraijah,,06,13.4969444,44.465
ad dar al bayda',,16,15.1286111,44.2219444
ad darb,,01,13.8666667,45.9666667
ad darb,,02,12.9669444,44.9116667
ad darb,,06,13.6427778,44.7241667
ad darb,,08,15.0302778,43.2997222
ad darb,,11,14.5941667,44.3502778
ad darb,,14,13.9333333,45.3333333
ad darb,,15,16.8641667,43.7855556
ad darb,,16,15.4186111,44.4391667
ad darb al aswad,,16,15.7072222,43.8333333
ad darb at tawil,,02,12.9669444,44.9116667
ad darbin,,15,17.0666667,43.4333333
ad daribah,,06,12.9072222,44.0141667
ad darifah,,06,13.7666667,44.8
ad dawahirah,,11,14.7338889,44.3988889
ad dawar,,15,16.7463889,43.3644444
ad dawhi,,11,14.7158333,44.0255556
ad dawj,,14,14.6666667,47.1333333
ad dawkah,,06,13.2166667,44.35
ad dawlah,,17,13.5,44.3833333
ad dawm,,08,14.8352778,43.2583333
