names,population,state_code,lat,lon
aan de doorns,,11,-33.7,19.5
aandenk,,05,-31.7,25.6166667
aangenaam,,11,-33.5,22.6333333
aangewysd,,07,-26.2833333,29.2666667
aanhou,,03,-30.5333333,26.9833333
aankomst,,07,-26.9666667,29.7333333
aapdraai,,10,-25.4833333,26.1666667
aarbossiesplaat,,05,-31.15,26.1833333
aasfontein,,11,-34.7666667,19.85
aasvoelkop,,05,-31.6833333,25.5333333
aasvogelboom,,10,-25.2333333,27.8666667
abbey,,10,-26.5666667,22.7333333
abbotspoort,,09,-23.45,28.0833333
abelsruhe,,05,-31.0166667,25.6333333
aberdeen,,05,-32.4833333,24.0666667
aberdour,,05,-31.8833333,25.9833333
aberfeldy,,03,-28.2333333,28.85
aboretum,,02,-28.7666667,32.0666667
aboyne,,02,-28.6666667,32.0333333
abramskraal,,03,-29.1333333,26.8166667
abrasive,,09,-23.1333333,29.4166667
acme,,02,-28.5833333,32.1833333
acornhoek,,09,-24.5833333,31.0833333
acton homes,,02,-28.6166667,29.4166667
adams college,,02,-30.0333333,30.8166667
adams mission,,02,-30.0333333,30.8166667
adams mission station,,02,-30.0333333,30.8166667
adams m.s.,,02,-30.0333333,30.8166667
adcock,,05,-33.9333333,25.5666667
adderley,,10,-27.1833333,23.2666667
addington,,02,-29.85,31.0333333
addney,,09,-23.1833333,28.9666667
addo,,05,-33.5666667,25.6833333
adelaide,12212,05,-32.7,26.3
aden,,03,-29.7833333,26.5833333
adendorp,,05,-32.3,24.55
adriaanshoop,,09,-24.8,26.85
afrikaskop,,03,-28.2,28.7
afsondering,,05,-30.15,28.95
afzondering,,05,-30.15,28.95
agatha,,02,-28.2,30.75
aggeneis,,01,-29.2,18.85
aggeneys,,01,-29.2,18.85
agincourt,,09,-24.8166667,31.25
agnes,,05,-31.6833333,27.0333333
agnes rest,,05,-31.6833333,27.0166667
agulhas,,11,-34.8166667,20.0166667
ahrens,,02,-29.0666667,30.7666667
ainslie,,10,-26.6166667,23.8166667
airlie,,05,-31.6166667,25.6666667
akasia,,06,-25.6561111,28.0927778
akron,,10,-26.8,23.75
