names,population,state_code,lat,lon
aaron,,07,-10.2333333,31.2166667
abdulla bin selemani,,07,-8.9333333,29.9333333
abdulla bin sulliman,,07,-8.9333333,29.9333333
abdullah bin selemani,,07,-8.9333333,29.9333333
abdullah bin sulliman,,07,-8.9333333,29.9333333
abel,,07,-10.2166667,32.7833333
abele maba,,06,-14.4833333,30.8833333
abel muwanda,,06,-14.0,31.5
abel muwandya,,07,-9.9,33.25
abelo,,05,-12.7166667,30.45
abercorn,,07,-8.8333333,31.3833333
aboylo,,07,-10.1,32.2833333
achitende,,07,-10.15,31.2333333
acitende,,07,-10.15,31.2333333
ackson,,06,-13.4666667,32.6833333
adams,,01,-13.3,23.2
adamson chibuye,,05,-12.7833333,30.7333333
adamson kulubale,,05,-12.5833333,30.45
adamson siame,,07,-10.0833333,32.6833333
adamson siyame,,07,-10.0833333,32.6833333
adonibizeka,,06,-14.0333333,31.6833333
adonsi,,03,-17.2333333,25.0333333
adrias,,06,-14.1833333,32.6333333
afumba,,03,-15.6333333,24.9333333
agripa,,06,-14.3833333,31.35
aibelilwe,,03,-17.3666667,24.8
aikelile,,03,-16.8333333,24.8833333
aikondo,,03,-15.2666667,22.8833333
ailola,,03,-15.55,23.1
ajungajunga,,03,-16.7,24.7666667
akaaiwa,,03,-15.6,23.1
akabiti,,03,-15.6166667,23.3666667
akakamba,,03,-17.35,24.7666667
akamonwa,,03,-17.4166667,24.8833333
akashambatwa,,03,-15.1,22.8166667
akawi,,03,-15.4666667,23.0666667
akazebi,,06,-13.55,31.9333333
akim kosoma,,05,-12.8,30.3333333
akim makosa,,05,-12.6166667,30.4333333
akokwa,,03,-15.4666667,23.05
akson,,06,-13.4666667,32.6833333
alan chibuya,,05,-12.7833333,30.3833333
alason cholafula,,05,-12.6333333,30.4166667
alec chimponda,,05,-12.9166667,30.5833333
aleluba,,03,-17.35,24.8
aleshi chisenda,,05,-12.8666667,30.2833333
aleshi flaichangwe,,05,-12.85,30.2666667
alexander mununka,,05,-12.8333333,30.5833333
alfred,,05,-14.4833333,28.4
alifeyo ngambe,,07,-10.35,33.35
alik chilembo,,07,-10.6,33.3833333
alikikoya,,06,-14.0166667,31.9833333
alimoni mambwe,,05,-12.9666667,30.5666667
aliomba,,03,-15.55,22.9666667
ali sakalani,,07,-9.1,29.7166667
aliyuda,,06,-13.2833333,31.9166667
alloleya,,07,-9.45,31.05
alon,,07,-10.3833333,33.4833333
aloni,,05,-13.15,30.6166667
amatende,,03,-15.35,22.85
ambanga,,03,-16.0833333,23.4833333
ambanwa,,03,-17.4833333,24.9
amoka,,03,-14.9666667,22.9833333
amon epahim,,06,-13.3166667,31.9333333
amoni,,06,-13.4333333,32.8
amoni,,08,-9.2833333,28.4333333
amoni kapansula,,05,-13.1833333,30.9666667
amoni mukando,,05,-12.5333333,30.3833333
amos,,06,-14.4333333,31.3333333
amos kalunga,,05,-12.8833333,30.2666667
amos kapeta,,05,-13.0666667,30.8666667
amos mwelwa,,05,-12.9333333,30.4
amukusana,,03,-15.4,23.3833333
amukuteile,,03,-17.3833333,24.7166667
amwalana,,03,-15.85,23.9333333
analilwa,,03,-15.0333333,23.1166667
analiwa,,03,-15.0833333,22.9333333
anamaa,,03,-15.0,23.5
anambulu,,03,-15.3,22.9166667
anandala,,03,-15.1166667,23.3166667
anasambata,,03,-17.2666667,24.6833333
anawana,,03,-15.5666667,23.1833333
andala sonchalwe,,05,-12.7166667,30.35
andeleya,,07,-9.5666667,31.2166667
anderson,,06,-13.5333333,32.4333333
andersoni,,05,-13.2166667,30.8666667
anderson mulawa,,03,-17.0,23.9833333
andirea,,06,-13.6,31.7666667
andiseni,,06,-14.3833333,31.7166667
andrea,,06,-13.6,31.7666667
andrea mwanje,,05,-12.9,30.6333333
andrew,,07,-10.05,32.75
andrew sinkala,,07,-9.5666667,32.6166667
andreya,,07,-9.3,31.9166667
anduu,,03,-14.85,23.25
anock chikwaba,,05,-14.4,27.2
anteu,,05,-12.55,33.3333333
anueli luawa,,05,-12.9333333,30.4333333
anwelo kalunga,,05,-12.85,30.55
anzeli,,03,-14.5,25.1
aongola,,03,-15.1833333,22.85
aran,,06,-13.1166667,31.8333333
aron,,06,-11.9833333,33.2166667
aron,,07,-8.95,31.6666667
aroni,,06,-14.3166667,31.3166667
aroni chilongo,,06,-13.1166667,31.8166667
aron kunda,,05,-13.05,30.6833333
asafu,,06,-13.6333333,32.25
asikuli,,03,-17.3333333,24.7666667
asiyenye,,03,-15.6333333,23.1
aslas,,06,-14.1333333,31.2666667
assumani,,07,-8.8666667,31.5
atanga,,03,-15.2833333,23.0333333
ausiku,,03,-15.4333333,22.8
awabelili,,03,-16.1,22.9
awata,,03,-14.9666667,22.6833333
axon chintu,,05,-13.2166667,30.8833333
azele,,06,-14.1,31.8833333
azere,,06,-14.1,31.8833333
bachundu,,06,-14.0333333,31.9
bagasa,,04,-16.3333333,28.8
bahati,,08,-11.05,28.8333333
baila,,06,-13.3,31.9333333
baimbai,,03,-14.6833333,23.2
bakenga,,04,-17.6666667,25.5833333
balanbeen,,02,-13.4166667,28.7666667
balazi,,07,-8.95,31.5833333
balmoral,,05,-15.5333333,28.1833333
balnabeen,,02,-13.4166667,28.7666667
balovale,,01,-13.55,23.1166667
balumika,,05,-14.4666667,29.4166667
bambwe,,04,-15.7666667,26.5166667
bambwe township,,04,-15.7666667,26.5166667
banachewembwe,,04,-15.7333333,27.3166667
banakachele,,04,-15.7166667,27.2
banamwaze,,04,-15.6333333,26.6
bancroft,,02,-12.3666667,27.8333333
banga,,04,-15.6666667,26.5
bangabanga,,02,-12.8333333,28.6666667
bangwe,,07,-9.4,30.15
banji,,04,-16.2833333,27.45
banji myanda,,04,-16.2833333,27.45
banojabo,,04,-15.6833333,27.5833333
barton,,07,-9.4,32.6166667
barua,,06,-13.1666667,31.8666667
barva,,06,-13.1666667,31.8666667
basanga,,04,-15.8666667,26.0833333
basebani,,03,-17.4,24.6833333
bashiluma,,05,-13.0666667,30.8166667
basilio,,07,-9.6666667,30.8
baskolo,,05,-13.2333333,30.6
basubila,,03,-16.4666667,24.5166667
batoka,,04,-16.7833333,27.2666667
batuke,,03,-14.4333333,23.2166667
batunda,,03,-14.7666667,23.0333333
batunga,,04,-15.5333333,26.1333333
batwelo,,06,-14.1,31.2833333
bayangwe,,04,-15.5666667,26.65
bayeka,,05,-14.8833333,26.1833333
bayeko,,05,-14.8833333,26.1833333
bedi,,06,-14.0666667,31.2833333
bedi mnkuni,,06,-14.0666667,31.2833333
belama,,05,-14.6333333,26.4
belemu,,04,-17.3166667,25.9166667
belleview,,02,-12.9,28.6333333
belview,,02,-12.9,28.6333333
bembu,,01,-13.8,23.2
benda,,03,-14.6833333,23.95
beneya,,07,-10.2666667,32.75
beni,,05,-13.2,30.6
beni maposo,,06,-14.3666667,31.2666667
benjamin,,07,-9.1166667,32.0666667
benjamin ngambe,,07,-10.3166667,33.5
benjamin ngombe,,07,-10.3166667,33.5
benjamin nyambi,,07,-10.35,33.5333333
benjamin silwelwa,,07,-10.3333333,32.6666667
benjamin siwila,,07,-10.1333333,32.5166667
benjimani chisanga,,05,-12.8833333,30.5833333
benjimani chisasa,,05,-12.8833333,30.5833333
ben kashiya,,05,-15.1,29.5333333
benson,,07,-8.8333333,31.5
benson katemene,,05,-12.7833333,30.75
berekiya musonte,,06,-14.3333333,31.4166667
beza,,06,-13.8666667,32.3666667
bichakana,,03,-14.3666667,23.7
bidima,,05,-12.8833333,30.0
bielu,,03,-15.0166667,24.0333333
biemba,,03,-16.8833333,24.5666667
bikilionde,,05,-13.1833333,30.6833333
bilili,,04,-16.75,26.2333333
bimaele,,06,-14.2666667,31.25
bina,,06,-14.3,31.9166667
bindinda,,03,-14.4,23.25
binga,,06,-14.0666667,32.3
bingashano,,03,-15.3,24.05
bingwe,,02,-13.0666667,27.9166667
bira,,06,-11.7333333,33.1166667
bisamendwe,,06,-14.2833333,31.7166667
bisesa,,03,-14.9333333,24.3
bizeke,,06,-14.5666667,31.4666667
bizeki,,06,-14.4,31.75
bizi,,04,-16.2333333,27.1666667
black kamsembe,,05,-12.7166667,30.4833333
black lyansa,,05,-12.5333333,30.4833333
bokama,,03,-14.1666667,24.9333333
bokola,,01,-13.3333333,23.2666667
bokolo,,01,-13.3333333,23.2666667
bokolu,,01,-13.3333333,23.2666667
bokoshi kalunga,,05,-12.9,30.4666667
bokosi,,05,-12.9,30.4666667
bokoya,,05,-13.8833333,28.25
bongondwe,,06,-11.1666667,32.9666667
bonomali,,06,-14.0166667,30.9666667
bopo,,04,-16.1166667,27.35
boston chisenga,,05,-12.8833333,30.65
bota,,06,-12.3333333,33.3
botunga,,04,-15.7666667,26.1333333
bovu,,04,-17.7,25.55
bowwood,,04,-17.15,26.1833333
boyani,,03,-14.5666667,24.7
bread kasungulika,,05,-12.8666667,30.3833333
broken hill,,05,-14.4333333,28.45
brown konkola,,05,-12.75,30.45
buchi and kamitondo,,02,-12.7833333,28.2166667
buckleys,,09,-15.5166667,28.2333333
buckleys township,,09,-15.5166667,28.2333333
budula siliya,,06,-13.75,31.95
bukala,,03,-16.85,24.8333333
bukaliwanshima,,05,-14.6,29.0666667
bukoya,,05,-13.8833333,28.25
bulamitata,,01,-13.1166667,23.7333333
bulamuti,,06,-12.4333333,32.9333333
bulaya,,07,-10.9166667,32.0333333
bulelele,,01,-13.3166667,25.8333333
buleya,,03,-15.1333333,22.7
buli,,06,-11.3666667,33.0833333
bulubi,,03,-15.7,25.0833333
