names,population,state_code,lat,lon
aamba,,02,0.7666667,20.7166667
aba,,09,3.8666667,30.2333333
ababi,,00,2.9,23.1333333
abaka,,00,2.95,25.9833333
abakodu,,09,2.5,28.5166667
abakuasimbo,,09,0.6,28.7166667
abakuba,,00,2.6,28.2666667
abakwasimbo,,09,0.6,28.7166667
abanengo,,00,2.6833333,27.7666667
abango,,00,2.6833333,27.7666667
abanusi,,00,3.45,28.0833333
abasani,,11,-1.1333333,27.15
abati,,00,2.6333333,27.8166667
abaye,,07,-1.3,28.9333333
abdallah,,00,4.4333333,27.3666667
abebekombo,,00,2.15,28.0166667
abelkoso,,09,1.8833333,30.0666667
abia,,09,0.8666667,29.6666667
abiana,,11,-0.0666667,27.8333333
abianonzi,,00,2.6666667,26.3166667
abiengama,,00,1.8333333,27.5
abiengama ii,,09,1.8833333,27.4333333
abiengbali,,00,2.4166667,27.9166667
abimba,,10,-4.35,27.1833333
abini,,00,2.2833333,27.55
abira,,09,2.0833333,31.1166667
abo,,00,3.2166667,30.2166667
aboboya,,00,2.6833333,29.35
abogandra,,00,2.6166667,26.8166667
abogo-dodu,,09,3.8166667,30.3666667
abogwomado,,09,2.5,26.3
abogwomadu,,09,2.5,26.3
abokwasimbe,,09,0.6,28.7166667
abongisia,,09,0.2044444,25.5947222
aborokpuyo,,09,4.3333333,28.85
abuki,,10,-2.55,26.6
abula,,00,3.5166667,25.9666667
abu mombasi,,00,3.7,22.1666667
abumombazi,,00,3.7,22.1666667
abumonbazi,,00,3.7,22.1666667
abusa,,00,2.0666667,27.6666667
abuti,,09,2.2666667,30.1166667
adaboro,,00,3.1666667,30.6333333
adala,,00,4.4333333,27.3666667
adama,,00,4.7833333,24.5833333
adau,,09,3.7,30.35
adeko,,00,2.8833333,30.7333333
adetere,,00,2.75,30.5333333
adia,,00,2.8333333,30.7166667
adi,,00,3.4,30.8
adidiema,,00,-4.2333333,23.75
adima,,00,2.5333333,28.0166667
adjauru,,00,2.6166667,26.1833333
adjayo,,00,2.9833333,26.15
adjoda,,09,2.2666667,30.95
ado,,09,-1.1166667,25.95
adomi,,00,3.2,30.5166667
adoria,,00,2.9666667,30.5666667
adranga,,00,2.9166667,29.9666667
adunandra,,00,3.4666667,27.6
adupa,,00,2.9333333,23.55
adupai,,00,2.9333333,23.55
adupay,,00,2.9333333,23.55
adusa,,00,1.3833333,28.0166667
adzapana,,09,1.9,28.9333333
adziba,,00,2.0166667,27.7666667
adzuani,,00,3.15,30.8
adzuma,,00,2.5166667,28.2833333
adzuna,,00,2.5166667,28.2833333
afakituru,,09,-0.1666667,24.0833333
agameto,,00,3.25,25.0833333
agbana,,00,2.5833333,27.9333333
agbau,,00,2.2166667,28.2
agbole,,00,3.05,23.35
agbua,,00,2.2166667,28.2
agekiana,,00,2.6666667,25.9166667
aginaso,,00,3.35,29.4
aginda,,00,2.8166667,28.7166667
agoro,,00,3.0833333,27.8333333
agrimafe,,01,-2.8666667,16.85
agubu,,00,3.15,29.4333333
agwa,,02,4.9666667,19.55
agwala,,00,2.7666667,27.4833333
agwetambi,,09,1.6833333,24.0666667
ahiro,,00,3.8666667,23.6833333
ainga,,09,-0.7666667,25.95
aisa,,11,-1.6,26.5833333
akabati,,00,3.85,23.6833333
akambwa,,00,3.85,22.9666667
akangai,,00,3.4166667,23.9166667
akangula,,00,-3.4666667,24.1833333
akasongo,,00,2.4333333,27.7166667
akau,,00,-2.3666667,23.1
akavu,,00,-2.3666667,23.1
akaya,,03,-4.6833333,23.6
akbata,,09,1.75,29.05
akei,,00,3.1166667,30.6666667
akengei,,00,2.9333333,26.8333333
aketi,,00,2.7333333,23.7666667
akili,,00,2.85,26.8333333
akoka,,00,-3.6166667,23.6333333
akokora,,09,1.7,29.0666667
akombe,,00,-4.2,24.3166667
akombi,,00,2.5333333,28.25
akpali,,00,2.45,28.1166667
akpome,,00,3.0666667,25.95
akula,,00,2.3666667,20.1833333
akulekpio,,00,4.7333333,25.6666667
akuma,,09,2.0666667,25.6833333
akumbu,,00,-2.3666667,22.7333333
akunvula,,00,-3.4666667,24.1833333
akva,,00,3.45,29.4166667
akwa,,09,2.0833333,30.1333333
akwe,,09,2.0833333,30.1333333
ala,,00,3.3333333,30.4666667
alafu,,09,0.7333333,29.1833333
alalu,,09,0.7333333,29.2333333
alambi,,09,2.1166667,28.8166667
alatshu,,09,-1.1166667,25.4666667
alberta,,02,2.2,22.35
albertstad,,05,-5.9333333,29.2
albertville,,05,-5.9333333,29.2
ale,,00,3.1666667,30.8
alebert,,12,-4.5772222,28.7847222
alembe,,00,-2.7833333,24.1166667
ali,,00,3.25,30.6166667
ali,,09,3.6333333,30.2
alifi,,09,3.7166667,29.6333333
aligo,,00,3.1,27.4333333
aligo,,09,4.4166667,28.9833333
alikolo,,00,2.75,27.3166667
alilia,,09,-0.7666667,25.0333333
alimasi,,09,-0.8333333,24.95
alimasi,,10,-1.7833333,26.1833333
alimba,,12,-2.8166667,27.2166667
alimbongo,,11,-0.3666667,29.15
ali moia,,05,-5.0,28.7833333
ali moya,,05,-5.0,28.7833333
alipago,,00,3.5666667,25.7333333
alipaye,,00,3.5666667,25.7333333
alipei,,00,3.5666667,25.7333333
aliposo,,09,-0.7,25.1166667
alira,,00,2.8166667,26.7333333
alize,,00,3.1333333,30.4333333
alo,,00,3.25,30.5333333
aloi,,11,0.5,29.15
alokwa,,09,3.6666667,29.85
alombi,,11,-1.1333333,27.1166667
alomo,,00,3.2,30.2666667
alonga,,10,-2.5166667,26.4333333
alongane,,00,3.5,23.2166667
alosi,,09,1.75,30.0666667
alubati,,12,-3.75,27.0333333
aluma,,09,0.4,26.3166667
alumba,,10,-2.9666667,24.9666667
alungba,,00,2.5666667,30.3333333
aluta,,09,-1.2333333,26.2333333
ama,,09,2.4666667,30.6333333
amabakumbu,,09,0.8333333,29.2333333
amabidi,,11,-1.5,26.5333333
amadi,,00,3.5833333,26.7833333
amaki,,00,3.0166667,26.1166667
amakibubu,,09,-0.3166667,25.5166667
amakonzi,,00,3.2833333,29.8833333
amalue,,00,2.7833333,27.5333333
amalutu,,09,1.0166667,29.1833333
amamula,,11,-0.3,27.8333333
amandjuju,,09,2.5,23.5
amasindrenie,,09,2.2833333,27.3166667
amasunga,,11,-1.1333333,27.0
amasungi,,11,-1.0833333,27.0
amatshilungu,,09,-0.1833333,25.7
amba,,00,2.8166667,22.8333333
amba,,10,-4.25,26.4833333
ambaka,,00,2.3333333,27.8
ambaki,,09,2.2333333,31.1166667
ambalo,,00,3.8,22.6166667
ambalu,,00,3.8,22.6166667
amba matala,,10,-4.2666667,26.4833333
ambarao,,00,3.1666667,29.7333333
ambarau,,00,3.1666667,29.7333333
ambimi,,00,3.2833333,30.0
ambisi,,00,2.6,30.7
ambo,,00,3.59,30.7841667
ambo,,09,2.3166667,30.4166667
amboma,,00,4.0,22.5333333
ambonga,,00,2.8333333,23.6333333
ambuma,,00,3.2333333,20.75
ambuma,,02,3.4666667,18.7666667
ambuma-moke,,02,3.4666667,18.7666667
ambura i,,01,-4.3833333,18.7333333
amehele,,11,-0.1166667,27.7166667
amekupi,,10,-2.7833333,26.65
amemete,,11,-0.1166667,27.7166667
amenete,,11,-0.1166667,27.7166667
ameta,,09,3.5833333,27.9833333
amishi,,05,-5.8,29.1333333
amisi,,09,0.1352778,25.5369444
amolia,,00,3.0166667,26.2
amongo,,09,-1.2666667,24.1166667
amonietau,,00,2.8333333,25.9333333
amosa,,00,2.9333333,26.4833333
amoti,,09,1.5166667,25.0833333
amuapa,,00,2.3833333,27.5333333
amuladi,,10,-4.3833333,27.0833333
amundero,,00,3.0,26.2
amungini,,10,-4.1166667,27.4
amusini,,10,-4.1333333,27.4166667
ana,,00,3.4833333,30.2
ana bangu,,00,-7.8,22.6666667
anapuno,,00,2.3333333,27.7166667
ancien beni,,11,0.4333333,29.55
andagone,,00,2.6333333,27.9333333
andalumo,,00,2.8166667,30.0
andata,,09,3.8166667,30.05
andekwakwa,,09,1.3333333,29.1666667
andengu,,00,2.65,28.7333333
andia,,00,2.5666667,23.5833333
andi-kenopi,,00,2.95,28.8833333
andikoi,,00,2.6166667,28.7833333
andima,,00,2.5333333,28.0166667
andiri,,00,3.3666667,30.2666667
andisa,,09,1.9833333,29.9833333
andjamango,,00,2.6666667,27.4833333
andoga,,00,2.55,29.9833333
andrima,,00,2.5333333,28.0166667
andudu,,09,2.4833333,28.6833333
anga,,00,-3.1166667,21.5666667
angako,,00,3.0833333,30.5333333
angaku,,00,2.9666667,30.5333333
angali,,00,2.1833333,28.0333333
angama,,00,3.6166667,22.6333333
angamapasa,,11,0.05,27.55
angelengwe,,09,0.1666667,27.4166667
angelos poulos,,12,-3.35,28.0333333
angemapasa,,11,0.05,27.55
angenga,,02,2.2833333,21.4833333
angilia,,00,3.1333333,30.6833333
angise-bamea,,00,2.5666667,23.8833333
ango,,00,4.0333333,25.8666667
ango ango,,08,-5.85,13.4333333
angodepala,,09,4.3,28.5333333
angodia,,00,3.5166667,25.7833333
angodra,,00,3.3166667,30.1333333
angonabasulu,,09,4.45,28.9
angoro,,00,2.2166667,28.1666667
angu,,00,3.55,24.4666667
angukulu,,00,1.6666667,27.5333333
angumu,,11,-0.1166667,27.7
angumu etat,,11,-0.1166667,27.7
angwandi,,09,3.55,29.75
ania,,00,3.3333333,30.7833333
aniakanane,,00,2.2,27.85
aniasu,,09,3.5833333,27.6
anilengbe,,09,4.4333333,28.9666667
aniozo,,09,1.4166667,30.1333333
aniza,,00,4.3833333,25.7833333
anjenje,,09,0.6333333,26.0666667
ankandja,,00,-2.4166667,23.7
ankoro,,00,-6.75,26.95
