names,population,state_code,lat,lon
100 acre lots,,06,-20.2086111,28.7213889
adylinn,,04,-17.7622222,30.9888889
alexandra park,,04,-17.7941667,31.0522222
amandas,,03,-17.3666667,30.95
amby,,04,-17.8333333,31.1152778
angus ranch,,07,-20.4194444,31.9638889
antelope,,06,-21.05,28.45
antelope mine,,06,-21.05,28.45
antenior,,06,-20.9833333,29.0333333
arcadia,,04,-17.8433333,31.0533333
arcadia south,,04,-17.85,31.0666667
arcadia west,,04,-17.8666667,31.0666667
arcturas,,04,-17.7858333,31.3233333
arcturus,,04,-17.7858333,31.3233333
ardbennie,,04,-17.8780556,31.0272222
arlington,,04,-17.9130556,31.0947222
arlington estate,,04,-17.9130556,31.0947222
ascot,,06,-20.1613889,28.61
ashbrittle,,04,-17.7686111,31.0311111
ashdown park,,04,-17.7936111,30.9827778
aspindale park,,04,-17.8708333,30.955
athlone,,04,-17.82,31.1333333
avenues,,04,-17.8188889,31.0394444
avoca,,07,-20.8,29.5333333
avondale,,04,-17.7961111,31.0347222
avondale township,,04,-17.7961111,31.0347222
avondale west,,04,-17.7825,31.0241667
avonlea,,04,-17.7730556,31.0125
avon rise,,04,-17.7825,31.0416667
babblespruit,,07,-20.3,32.6166667
badminton block,,06,-20.0705556,28.3
balabala,,07,-20.45,29.05
balla balla,,07,-20.45,29.05
ballantyne park,,04,-17.7716667,31.1030556
balule,,06,-20.1,27.95
bangamakuni,,06,-19.3833333,27.6333333
bangamukumi,,06,-19.3833333,27.6333333
banke,,06,-19.3166667,27.3666667
banket,,04,-17.3833333,30.4
banket junction,,04,-17.3833333,30.4
bannockburn,,07,-20.2805556,29.8847222
barbour fields,,06,-20.1288889,28.57
barham green,,06,-20.1916667,28.5683333
barrington,,04,-17.9388889,30.9583333
battlefield,,04,-18.6,29.8333333
battlefields,,04,-18.6,29.8333333
bauhinia,,03,-17.3666667,31.0333333
bayi bayi,,06,-19.1166667,27.6833333
beatrice,,04,-18.2666667,30.8666667
beitbridge,11865,07,-22.2166667,30.0
belgravia,,04,-17.8030556,31.0497222
belingwe,,07,-20.4833333,29.9166667
bellevue,,06,-20.1708333,28.5077778
