ADDRESS,VOTERS,VALUE
Totals,6254,5
"ALISO VIEJO, CALIFORNIA",92,10
"ANAHEIM, CALIFORNIA",761,15
"BREA, CALIFORNIA",99,20
"BUENA PARK, CALIFORNIA",162,25
"COSTA MESA, CALIFORNIA",214,30
"CYPRESS, CALIFORNIA",111,35
"DANA POINT, CALIFORNIA",72,40
"FOUNTAIN VALLEY, CALIFORNIA",144,45
"FULLERTON, CALIFORNIA",328,50
"GARDEN GROVE, CALIFORNIA",367,55
"HUNTINGTON BEACH, CALIFORNIA",479,60
"IRVINE, CALIFORNIA",347,65
"LA HABRA, CALIFORNIA",90,70
"LA PALMA, CALIFORNIA",28,75
"LAGUNA BEACH, CALIFORNIA",53,80
"LAGUNA HILLS, CALIFORNIA",61,85
"LAGUNA NIGUEL, CALIFORNIA",145,90
"LAGUNA WOODS, CALIFORNIA",58,95
"LAKE FOREST, CALIFORNIA",173,100
"LOS ALAMITOS, CALIFORNIA",20,105
"MISSION VIEJO, CALIFORNIA",264,110
"NEWPORT BEACH, CALIFORNIA",226,115
"ORANGE, CALIFORNIA",292,120
"PLACENTIA, CALIFORNIA",91,125
"RANCHO SANTA MARGARITA, CALIFORNIA",90,130
"SAN CLEMENTE, CALIFORNIA",141,135
"SAN JUAN CAPISTRANO, CALIFORNIA",61,140
"SANTA ANA, CALIFORNIA",401,145
"SEAL BEACH, CALIFORNIA",54,150
"STANTON, CALIFORNIA",63,155
"TUSTIN, CALIFORNIA",119,160
"VILLA PARK, CALIFORNIA",16,165
"WESTMINSTER, CALIFORNIA",182,170
"YORBA LINDA, CALIFORNIA",201,175
UNINCORPORATED AREA,249,180
