latitude,longitude,price,square feet,value
40.03937,-105.26609,748000,3772,198.3032873807
40.007199,-105.25742,435000,1433,303.558967201675
39.990025,-105.243314,405000,2800,144.642857142857
40.02675,-105.281906,324900,792,410.227272727273
40.021736,-105.26642,312000,1108,281.58844765343
40.042798,-105.259156,245900,1114,220.736086175943
39.986666,-105.229222,190000,948,200.42194092827
40.042058,-105.290084,989500,3648,271.24451754386
40.053244,-105.26428,489900,2850,171.894736842105
39.976356,-105.239592,441000,2112,208.806818181818
40.081733,-105.346895,440000,2394,183.792815371763
40.02675,-105.281906,385900,792,487.247474747475
40.060366,-105.1742,369000,2671,138.150505428678
40.04583,-105.254968,300000,1524,196.850393700787
40.005964,-105.223918,296200,1140,259.824561403509
40.014694,-105.247766,274900,806,341.06699751861
40.031122,-105.254078,258000,1541,167.423750811162
40.044778,-105.263241,825000,6062,136.093698449357
39.977308,-105.257993,714000,2330,306.437768240343
40.031512,-105.271949,390000,2100,185.714285714286
40.028327,-105.291492,1375000,3556,386.670416197975
40.016268,-105.264139,1260000,4689,268.714011516315
40.043697,-105.272307,1100500,6688,164.548444976077
40.016427,-105.271673,995000,3001,331.556147950683
40.045296,-105.284553,785000,3284,239.037758830694
39.990384,-105.235344,612500,3747,163.464104617027
39.976647,-105.262885,593000,2076,285.645472061657
40.05968,-105.27865,587500,1591,369.26461345066
39.997253,-105.266245,530000,1825,290.41095890411
40.051,-105.196949,519000,3912,132.668711656442
40.024568,-105.286505,500000,1408,355.113636363636
40.04513,-105.259259,312000,1660,187.951807228916
40.051023,-105.220856,307098,2187,140.41975308642
40.010328,-105.258201,238000,916,259.825327510917
39.986666,-105.229222,195000,948,205.696202531646
40.010767,-105.262966,164900,1164,141.666666666667
40.06585,-105.180193,152000,1184,128.378378378378
40.035775,-105.251848,125000,947,131.995776135164
40.065279,-105.191819,730000,6743,108.260418211479
40.043359,-105.292989,657000,2803,234.391723153764
40.046384,-105.284648,630000,2802,224.839400428266
40.002699,-105.273744,575000,2141,268.566090611864
40.087377,-105.326209,515000,2570,200.389105058366
39.994432,-105.256876,412984,1360,303.664705882353
40.070668,-105.240919,1030000,6003,171.580876228552
40.042576,-105.249393,675000,4213,160.218371706622
40.026281,-105.266357,510000,925,551.351351351351
40.0158,-105.350317,464000,2124,218.455743879473
40.068992,-105.178973,157000,965,162.694300518135
40.000452,-105.273737,835000,2653,314.738032416133
40.020534,-105.272304,575000,1412,407.223796033994
40.023643,-105.262425,555000,1843,301.139446554531
40.006683,-105.283162,495000,2960,167.22972972973
39.978727,-105.254638,410000,1720,238.372093023256
40.010767,-105.262966,163500,1164,140.463917525773
40.070138,-105.191359,807000,3559,226.749086822141
39.995834,-105.24253,720000,3900,184.615384615385
40.000517,-105.1695,600000,4028,148.957298907646
40.046951,-105.247375,567000,3396,166.961130742049
39.980927,-105.255345,560000,2592,216.049382716049
40.031408,-105.237472,452000,2471,182.921893970053
40.006883,-105.20599,420000,2026,207.305034550839
40.014703,-105.248247,390000,1222,319.148936170213
39.989754,-105.247082,385000,1516,253.957783641161
40.064951,-105.181465,360000,2700,133.333333333333
40.010328,-105.258201,354000,1621,218.38371375694
40.030655,-105.242527,297000,1567,189.534141671985
40.005951,-105.251537,104000,570,182.456140350877
40.006294,-105.284312,783500,2316,338.298791018998
39.998168,-105.271111,652500,2244,290.775401069519
39.980764,-105.262092,461000,1790,257.541899441341
39.988225,-105.175349,450000,2882,156.141568355309
39.973988,-105.260348,433000,1612,268.610421836228
39.991651,-105.242754,421000,3075,136.910569105691
40.033961,-105.252141,108000,631,171.156893819334
39.993658,-105.23082,485000,2959,163.906725245015
40.054151,-105.180038,415000,2696,153.93175074184
40.053429,-105.377164,390000,2029,192.212912764909
40.014001,-105.236258,375000,1824,205.592105263158
40.017352,-105.265739,208000,1059,196.411709159585
40.03384,-105.248959,164900,930,177.311827956989
40.037266,-105.283514,1750000,5315,329.25682031985
40.05002,-105.278881,800000,3076,260.078023407022
40.045137,-105.291289,757000,2398,315.679733110926
40.02175,-105.284764,683000,2062,331.231813773036
39.974781,-105.260922,513000,1760,291.477272727273
40.074776,-105.192956,400000,3402,117.577895355673
40.040259,-105.260138,360000,2366,152.155536770921
40.051023,-105.220856,242251,1865,129.893297587131
40.061825,-105.214777,215000,1214,177.100494233937
40.013227,-105.232486,205000,857,239.206534422404
40.059201,-105.214223,145000,574,252.613240418118
40.033865,-105.265229,443000,2262,195.844385499558
39.979432,-105.238647,407000,1554,261.904761904762
40.057946,-105.281019,404000,1038,389.210019267823
39.993898,-105.253957,390000,1066,365.853658536585
40.064349,-105.284843,375000,1684,222.684085510689
39.999156,-105.264443,370000,756,489.417989417989
40.007291,-105.244741,365000,1476,247.289972899729
40.02553,-105.27246,199700,910,219.450549450549
40.005945,-105.250177,182000,1102,165.154264972777
40.033865,-105.265229,443000,2262,195.844385499558
39.979432,-105.238647,407000,1554,261.904761904762
40.057946,-105.281019,404000,1038,389.210019267823
39.993898,-105.253957,390000,1066,365.853658536585
40.064349,-105.284843,375000,1684,222.684085510689
39.999156,-105.264443,370000,756,489.417989417989
40.007291,-105.244741,365000,1476,247.289972899729
40.02553,-105.27246,199700,910,219.450549450549
40.005945,-105.250177,182000,1102,165.154264972777
40.043072,-105.250827,781400,4009,194.911449239212
40.003153,-105.281927,605000,1760,343.75
39.98899,-105.266194,520000,2430,213.991769547325
40.062925,-105.180442,307000,1626,188.806888068881
39.979424,-105.236795,255000,1115,228.699551569507
40.018443,-105.290891,872030,1884,462.86093418259
39.95842,-105.233075,615000,2744,224.125364431487
40.060824,-105.179283,469000,4005,117.103620474407
40.0008,-105.243735,425000,2208,192.481884057971
40.036441,-105.251575,195000,1242,157.004830917874
40.007257,-105.249619,192500,1008,190.972222222222
40.020034,-105.274762,1300000,2294,566.695727986051
39.990528,-105.22757,580000,2895,200.345423143351
40.001504,-105.243463,420000,1788,234.89932885906
40.009441,-105.238407,365000,1430,255.244755244755
40.057082,-105.204251,290000,1273,227.808326787117
40.014694,-105.247766,289900,914,317.177242888403
40.005951,-105.251537,104500,570,183.333333333333
40.033069,-105.284463,1290000,3757,343.359063082246
40.017975,-105.273757,1280000,2132,600.375234521576
40.059753,-105.16998,353000,2261,156.125608137992
40.061007,-105.210587,149900,904,165.818584070796
40.031261,-105.276513,937750,3065,305.954323001631
40.024229,-105.271127,630000,2144,293.84328358209
39.998177,-105.264413,580000,2605,222.648752399232
39.9842,-105.262759,985000,3379,291.506362829239
40.060054,-105.245721,685000,2260,303.097345132743
40.041665,-105.24956,449900,2492,180.53772070626
40.007103,-105.258105,255000,814,313.267813267813
40.007199,-105.257085,355000,1280,277.34375
40.014703,-105.248247,249900,889,281.102362204724
40.03425,-105.244178,225000,1030,218.446601941748
40.001288,-105.22409,186500,728,256.181318681319
39.960055,-105.222827,4450000,8000,556.25
40.015509,-105.281341,1200000,1447,829.30200414651
40.027696,-105.317685,842900,4273,197.261876901474
40.018116,-105.273681,699000,1424,490.870786516854
