latitude,longitude,price,square feet,value,tab
40.03937,-105.26609,748000,3772,198.3032873807,May
40.007199,-105.25742,435000,1433,303.558967201675,May
39.990025,-105.243314,405000,2800,144.642857142857,May
40.02675,-105.281906,324900,792,410.227272727273,May
40.021736,-105.26642,312000,1108,281.58844765343,May
40.042798,-105.259156,245900,1114,220.736086175943,May
39.986666,-105.229222,190000,948,200.42194092827,May
40.042058,-105.290084,989500,3648,271.24451754386,May
40.053244,-105.26428,489900,2850,171.894736842105,May
39.976356,-105.239592,441000,2112,208.806818181818,May
40.081733,-105.346895,440000,2394,183.792815371763,May
40.02675,-105.281906,385900,792,487.247474747475,May
40.060366,-105.1742,369000,2671,138.150505428678,May
40.04583,-105.254968,300000,1524,196.850393700787,May
40.005964,-105.223918,296200,1140,259.824561403509,May
40.014694,-105.247766,274900,806,341.06699751861,May
40.031122,-105.254078,258000,1541,167.423750811162,May
40.044778,-105.263241,825000,6062,136.093698449357,May
39.977308,-105.257993,714000,2330,306.437768240343,May
40.031512,-105.271949,390000,2100,185.714285714286,May
40.028327,-105.291492,1375000,3556,386.670416197975,May
40.016268,-105.264139,1260000,4689,268.714011516315,May
40.043697,-105.272307,1100500,6688,164.548444976077,May
40.016427,-105.271673,995000,3001,331.556147950683,May
40.045296,-105.284553,785000,3284,239.037758830694,May
39.990384,-105.235344,612500,3747,163.464104617027,May
39.976647,-105.262885,593000,2076,285.645472061657,May
40.05968,-105.27865,587500,1591,369.26461345066,May
39.997253,-105.266245,530000,1825,290.41095890411,May
40.051,-105.196949,519000,3912,132.668711656442,May
40.024568,-105.286505,500000,1408,355.113636363636,May
40.04513,-105.259259,312000,1660,187.951807228916,May
40.051023,-105.220856,307098,2187,140.41975308642,May
40.010328,-105.258201,238000,916,259.825327510917,May
39.986666,-105.229222,195000,948,205.696202531646,May
40.010767,-105.262966,164900,1164,141.666666666667,May
40.06585,-105.180193,152000,1184,128.378378378378,May
40.035775,-105.251848,125000,947,131.995776135164,May
40.065279,-105.191819,730000,6743,108.260418211479,May
40.043359,-105.292989,657000,2803,234.391723153764,May
40.046384,-105.284648,630000,2802,224.839400428266,May
40.002699,-105.273744,575000,2141,268.566090611864,May
40.087377,-105.326209,515000,2570,200.389105058366,May
39.994432,-105.256876,412984,1360,303.664705882353,May
40.070668,-105.240919,1030000,6003,171.580876228552,May
40.042576,-105.249393,675000,4213,160.218371706622,May
40.026281,-105.266357,510000,925,551.351351351351,May
40.0158,-105.350317,464000,2124,218.455743879473,May
40.068992,-105.178973,157000,965,162.694300518135,May
40.000452,-105.273737,835000,2653,314.738032416133,May
40.020534,-105.272304,575000,1412,407.223796033994,May
40.023643,-105.262425,555000,1843,301.139446554531,May
40.006683,-105.283162,495000,2960,167.22972972973,May
39.978727,-105.254638,410000,1720,238.372093023256,May
40.010767,-105.262966,163500,1164,140.463917525773,May
40.070138,-105.191359,807000,3559,226.749086822141,May
39.995834,-105.24253,720000,3900,184.615384615385,May
40.000517,-105.1695,600000,4028,148.957298907646,May
40.046951,-105.247375,567000,3396,166.961130742049,May
39.980927,-105.255345,560000,2592,216.049382716049,May
40.031408,-105.237472,452000,2471,182.921893970053,May
40.006883,-105.20599,420000,2026,207.305034550839,May
40.014703,-105.248247,390000,1222,319.148936170213,May
39.989754,-105.247082,385000,1516,253.957783641161,May
40.064951,-105.181465,360000,2700,133.333333333333,May
40.010328,-105.258201,354000,1621,218.38371375694,May
40.030655,-105.242527,297000,1567,189.534141671985,May
40.005951,-105.251537,104000,570,182.456140350877,May
40.006294,-105.284312,783500,2316,338.298791018998,May
39.998168,-105.271111,652500,2244,290.775401069519,May
39.980764,-105.262092,461000,1790,257.541899441341,May
39.988225,-105.175349,450000,2882,156.141568355309,May
39.973988,-105.260348,433000,1612,268.610421836228,May
39.991651,-105.242754,421000,3075,136.910569105691,May
40.033961,-105.252141,108000,631,171.156893819334,May
39.993658,-105.23082,485000,2959,163.906725245015,May
40.054151,-105.180038,415000,2696,153.93175074184,May
40.053429,-105.377164,390000,2029,192.212912764909,May
40.014001,-105.236258,375000,1824,205.592105263158,May
40.017352,-105.265739,208000,1059,196.411709159585,May
40.03384,-105.248959,164900,930,177.311827956989,May
40.037266,-105.283514,1750000,5315,329.25682031985,May
40.05002,-105.278881,800000,3076,260.078023407022,May
40.045137,-105.291289,757000,2398,315.679733110926,May
40.02175,-105.284764,683000,2062,331.231813773036,May
39.974781,-105.260922,513000,1760,291.477272727273,May
40.074776,-105.192956,400000,3402,117.577895355673,May
40.040259,-105.260138,360000,2366,152.155536770921,May
40.051023,-105.220856,242251,1865,129.893297587131,May
40.061825,-105.214777,215000,1214,177.100494233937,May
40.013227,-105.232486,205000,857,239.206534422404,May
40.059201,-105.214223,145000,574,252.613240418118,May
40.033865,-105.265229,443000,2262,195.844385499558,May
39.979432,-105.238647,407000,1554,261.904761904762,May
40.057946,-105.281019,404000,1038,389.210019267823,May
39.993898,-105.253957,390000,1066,365.853658536585,May
40.064349,-105.284843,375000,1684,222.684085510689,May
39.999156,-105.264443,370000,756,489.417989417989,May
40.007291,-105.244741,365000,1476,247.289972899729,May
40.02553,-105.27246,199700,910,219.450549450549,May
40.005945,-105.250177,182000,1102,165.154264972777,May
40.033865,-105.265229,443000,2262,195.844385499558,May
39.979432,-105.238647,407000,1554,261.904761904762,May
40.057946,-105.281019,404000,1038,389.210019267823,May
39.993898,-105.253957,390000,1066,365.853658536585,May
40.064349,-105.284843,375000,1684,222.684085510689,May
39.999156,-105.264443,370000,756,489.417989417989,May
40.007291,-105.244741,365000,1476,247.289972899729,May
40.02553,-105.27246,199700,910,219.450549450549,May
40.005945,-105.250177,182000,1102,165.154264972777,May
40.043072,-105.250827,781400,4009,194.911449239212,May
40.003153,-105.281927,605000,1760,343.75,May
39.98899,-105.266194,520000,2430,213.991769547325,May
40.062925,-105.180442,307000,1626,188.806888068881,May
39.979424,-105.236795,255000,1115,228.699551569507,May
40.018443,-105.290891,872030,1884,462.86093418259,May
39.95842,-105.233075,615000,2744,224.125364431487,May
40.060824,-105.179283,469000,4005,117.103620474407,May
40.0008,-105.243735,425000,2208,192.481884057971,May
40.036441,-105.251575,195000,1242,157.004830917874,May
40.007257,-105.249619,192500,1008,190.972222222222,May
40.020034,-105.274762,1300000,2294,566.695727986051,May
39.990528,-105.22757,580000,2895,200.345423143351,May
40.001504,-105.243463,420000,1788,234.89932885906,May
40.009441,-105.238407,365000,1430,255.244755244755,May
40.057082,-105.204251,290000,1273,227.808326787117,May
40.014694,-105.247766,289900,914,317.177242888403,May
40.005951,-105.251537,104500,570,183.333333333333,May
40.033069,-105.284463,1290000,3757,343.359063082246,May
40.017975,-105.273757,1280000,2132,600.375234521576,May
40.059753,-105.16998,353000,2261,156.125608137992,May
40.061007,-105.210587,149900,904,165.818584070796,May
40.031261,-105.276513,937750,3065,305.954323001631,May
40.024229,-105.271127,630000,2144,293.84328358209,May
39.998177,-105.264413,580000,2605,222.648752399232,May
39.9842,-105.262759,985000,3379,291.506362829239,May
40.060054,-105.245721,685000,2260,303.097345132743,May
40.041665,-105.24956,449900,2492,180.53772070626,May
40.007103,-105.258105,255000,814,313.267813267813,May
40.007199,-105.257085,355000,1280,277.34375,May
40.014703,-105.248247,249900,889,281.102362204724,May
40.001288,-105.22409,186500,728,256.181318681319,June
39.960055,-105.222827,4450000,8000,556.25,June
