"port moody-westwood-port coquitlam",39
victoria,33
london-fanshawe,66
"edmonton-mill woods-beaumont",42
"vancouver kingsway",85
"western arctic",28
"london north centre",29
lambton-kent-middlesex,57
cardigan,77
"edmonton-sherwood park",79
vegreville-wainwright,60
"bruce-grey-owen sound",57
mississauga-erindale,11
"central nova",80
trinity-spadina,10
"vancouver quadra",14
lethbridge,84
mississauga-streetsville,38
miramichi,27
"london west",100
edmonton-leduc,45
avalon,58
huron-bruce,25
"brampton west",15
"mississauga-brampton south",55
"edmonton-st. albert",85
montcalm,68
cambridge,37
"random-burin-st. george's",36
scarborough-agincourt,51
marc-aurele-fortin,11
"mississauga east-cooksville",76
macleod,85
"medicine hat",77
"mississauga south",18
provencher,69
"cumberland-colchester-musquodoboit valley",5
pontiac,48
burnaby-douglas,26
oakville,83
edmonton-strathcona,27
"cape breton-canso",86
riviere-des-mille-iles,39
"burnaby-new westminster",38
elgin-middlesex-london,66
selkirk-interlake,50
kootenay-columbia,52
"newton-north delta",49
"new westminster-coquitlam",88
"delta-richmond east",79
"st. john's east",48
langley,33
okanagan-shuswap,37
"thunder bay-rainy river",74
vaudreuil-soulanges,49
halton,93
"south surrey-white rock-cloverdale",58
beausejour,16
algoma-manitoulin-kapuskasing,29
moncton-riverview-dieppe,95
"vancouver south",68
oshawa,41
gatineau,71
portage-lisgar,52
"nickel belt",18
saskatoon-rosetown-biggar,89
"york south-weston",21
"rimouski-neigette-temiscouata-les basques",23
"niagara falls",37
"haute-gaspesie-la mitis-matane-matapedia",47
haldimand-norfolk,5
"northumberland-quinte west",64
oxford,33
saskatoon-humboldt,45
outremont,2
whitby-oshawa,100
pierrefonds-dollard,96
sarnia-lambton,54
"bonavista-gander-grand falls-windsor",48
"oak ridges-markham",83
yukon,33
palliser,97
guelph,16
"edmonton east",71
"prince edward-hastings",71
laval,65
westmount-ville-marie,63
hochelaga,28
"vancouver centre",82
leeds-grenville,93
burlington,23
longueuil-pierre-boucher,49
"vercheres-les patriotes",34
"calgary southeast",94
"wellington-halton hills",1
"kingston and the islands",52
"humber-st. barbe-baie verte",82
kitchener-conestoga,22
ajax-pickering,76
"stormont-dundas-south glengarry",19
"skeena-bulkley valley",70
berthier-maskinonge,81
honore-mercier,83
brant,2
"la pointe-de-l'ile",26
nipissing-timiskaming,86
charlesbourg-haute-saint-charles,1
"calgary southwest",21
lasalle-emard,40
"desnethe-missinippi-churchill river",50
ottawa-orleans,4
"chilliwack-fraser canyon",73
ottawa-vanier,47
renfrew-nipissing-pembroke,20
"laval-les iles",44
repentigny,17
lac-saint-louis,86
brandon-souris,7
"calgary-nose hill",45
notre-dame-de-grace-lachine,67
"surrey north",0
peterborough,68
nunavut,16
"thunder bay-superior north",34
"dauphin-swan river-marquette",62
okanagan-coquihalla,18
sydney-victoria,86
"british columbia southern interior",44
"prince albert",40
megantic-l'erable,61
saskatoon-wanuskewin,63
"fort mcmurray-athabasca",10
argenteuil-papineau-mirabel,42
louis-saint-laurent,46
saint-bruno-saint-hubert,13
"pickering-scarborough east",69
"niagara west-glanbrook",31
vaughan,15
kamloops-thompson-cariboo,90
joliette,71
"cariboo-prince george",65
richmond-arthabaska,95
labrador,44
manicouagan,11
abitibi-baie-james-nunavik-eeyou,15
chambly-borduas,88
newmarket-aurora,28
welland,0
"haliburton-kawartha lakes-brock",96
"parry sound-muskoka",74
"simcoe north",68
"fleetwood-port kells",96
malpeque,42
regina-qu'appelle,85
portneuf-jacques-cartier,29
alfred-pellan,3
"north vancouver",2
elmwood-transcona,15
"south shore-st. margaret's",47
"st. catharines",43
hull-aylmer,77
"west vancouver-sunshine coast-sea to sky country",9
"west nova",53
"calgary northeast",18
"saint boniface",56
ahuntsic,66
scarborough-guildwood,87
"richmond hill",87
"winnipeg centre",81
montmorency-charlevoix-haute-c„¥te-nord,77
"etobicoke north",57
"hamilton mountain",46
saint-laurent-cartierville,71
"etobicoke centre",1
"charleswood-st. james-assiniboia",57
"dartmouth-cole harbour",86
"chicoutimi-le fjord",90
"parkdale-high park",86
"ottawa west-nepean",87
markham-unionville,85
davenport,60
"scarborough centre",55
willowdale,80
kenora,1
thornhill,39
blackstrap,9
halifax,4
"winnipeg south",41
"winnipeg south centre",24
yorkton-melville,52
madawaska-restigouche,85
"esquimalt-juan de fuca",0
gaspesie-iles-de-la-madeleine,62
sudbury,37
"regina-lumsden-lake centre",19
toronto-danforth,17
"kildonan-st. paul",2
"calgary east",5
"cypress hills-grasslands",3
charlottetown,84
"york west",83
"halifax west",61
"saanich-gulf islands",29
barrie,53
"winnipeg north",62
bourassa,87
saint-leonard-saint-michel,39
beauport-limoilou,52
kings-hants,73
acadie-bathurst,26
egmont,36
"souris-moose mountain",32
"beaches-east york",81
abbotsford,16
"sackville-eastern shore",34
"kelowna-lake country",19
bas-richelieu-nicolet-becancour,25
quebec,39
"pitt meadows-maple ridge-mission",61
beauce,50
kitchener-waterloo,91
"sault ste. marie",45
"calgary centre-north",50
crowfoot,52
wetaskiwin,83
louis-hebert,70
wascana,69
"calgary centre",86
"calgary west",76
"red deer",73
"wild rose",69
"vancouver island north",58
laurentides-labelle,34
bramalea-gore-malton,99
brampton-springdale,11
nanaimo-cowichan,97
"carleton-mississippi mills",86
"vancouver east",50
papineau,48
saint-lambert,58
"peace river",77
ancaster-dundas-flamborough-westdale,84
"edmonton centre",91
"prince george-peace river",57
brome-missisquoi,100
"jeanne-le ber",24
shefford,77
battlefords-lloydminster,25
"fundy royal",63
saint-jean,38
"edmonton-spruce grove",75
chatham-kent-essex,53
"ottawa centre",83
essex,25
nepean-carleton,5
"westlock-st. paul",66
nanaimo-alberni,95
