Latitude,Longitude,Value,Depth,Time
48.203,-121.676,2.2,4,2010-01
26.29,99.866,5,10,2010-01
30.646,83.791,4.8,10,2010-01
32.476,-115.19,3.2,1,2010-01
40.726,51.925,5,46,2010-01
35.979,-117.321,2.8,0,2010-01
36.031,-117.784,2.9,3,2010-01
42.616,-111.058,3,5,2010-01
5.027,127.121,4.4,80,2010-01
13.687,125.554,4.7,22,2010-01
34.325,25.303,4.2,39,2010-01
46.738,151.592,4.8,114,2010-01
42.36,-30.462,5,10,2010-01
62.686,-150.256,2.6,75,2010-01
32.474,-115.215,3.1,8,2010-01
-22.874,69.345,4.4,10,2010-01
52.414,-163.914,2.6,25,2010-01
-24.563,-179.947,4.8,507,2010-01
60.143,-150.86,2.5,60,2010-01
51.865,-175.532,3.7,55,2010-01
3.621,126.78,4.3,66,2010-01
23.786,121.677,4.5,30,2010-01
1.438,67.763,4.7,10,2010-01
1.402,67.656,4.5,10,2010-01
-6.704,130.021,4.8,161,2010-01
-1.9,101.136,4.3,27,2010-01
35.635,-97.185,2.8,5,2010-01
52.431,-174.412,3.1,134,2010-01
-19.987,-175.407,4.9,157,2010-01
51.943,-166.388,4.5,31,2010-01
55.723,165.744,4.8,15,2010-01
38.245,71.467,5.4,47,2010-01
55.617,-161.641,2.6,163,2010-01
38.362,71.318,4.4,42,2010-01
33.576,-118.889,2.8,11,2010-01
12.444,142.203,4.7,10,2010-01
34.58,-119.846,2.1,5,2010-01
12.287,142.091,4.4,10,2010-01
38.452,71.291,4.3,48,2010-01
12.397,142.16,5.1,10,2010-01
12.462,142.185,4.9,10,2010-01
12.312,142.034,4.6,10,2010-01
-46.298,166.245,4,12,2010-01
12.391,141.997,4.6,10,2010-01
12.351,141.968,4.7,10,2010-01
12.343,141.896,4.8,10,2010-01
-2.188,134.126,4.1,42,2010-01
-1.625,-81.516,4.2,46,2010-01
37.765,-122.565,2.2,11,2010-01
12.424,141.955,6.1,2,2010-01
52.073,179.862,3.3,22,2010-01
22.126,142.806,4.7,253,2010-01
53.805,-164.693,2.5,25,2010-01
55.853,-160.502,2.9,153,2010-01
42.839,-71.695,2.3,14,2010-01
40.715,79.66,4.8,48,2010-01
12.406,142.145,4.7,28,2010-01
14.262,-92.435,4.8,45,2010-01
45.137,-120.955,3.6,15,2010-01
53.206,-165.592,2.6,17,2010-01
12.36,141.917,4.6,10,2010-01
12.594,-87.666,4.2,66,2010-01
52.118,-30.056,4.7,10,2010-01
-2.923,129.975,4.6,35,2010-01
-8.557,158.997,4.8,132,2010-01
-8.012,122.959,4.6,199,2010-01
53.277,-164.042,3.3,8,2010-01
-10.848,166.055,4.4,46,2010-01
0.817,126.192,4.6,51,2010-01
-5.297,145.859,5.8,34,2010-01
37.409,-118.429,2.5,7,2010-01
52.536,-166.919,2.8,8,2010-01
32.46,-115.197,3.2,9,2010-01
59.241,-152.699,2.7,68,2010-01
38.813,-122.816,2.9,2,2010-01
-13.881,167.231,5,190,2010-01
-15.923,-74.296,4.2,35,2010-01
44.021,148.455,4.3,27,2010-01
-22.573,-68.502,4.8,101,2010-01
51.657,-176.276,3,61,2010-01
-1.858,138.98,5.2,9,2010-01
-12.883,166.145,5.2,10,2010-01
32.543,-115.242,3.2,9,2010-01
-18.203,-174.715,4.7,95,2010-01
52.252,-165.905,2.8,7,2010-01
-8.799,157.489,4.7,22,2010-01
-8.802,-77.718,5.7,116,2010-01
6.426,126.293,5.2,60,2010-01
-5.214,151.237,4.8,146,2010-01
-8.743,157.477,6.6,26,2010-01
-8.745,157.434,4.6,32,2010-01
-8.785,157.493,4.5,35,2010-01
-8.667,157.365,4.4,35,2010-01
-8.862,157.539,4.6,35,2010-01
-8.71,157.456,4.7,35,2010-01
-8.873,157.438,4,35,2010-01
32.372,-115.097,3.2,9,2010-01
-8.766,157.484,4.3,35,2010-01
-8.799,157.346,7.1,25,2010-01
-8.594,157.338,4,35,2010-01
-8.719,157.471,5,35,2010-01
-8.603,157.13,4.4,35,2010-01
-8.595,157.498,4.8,35,2010-01
-8.641,157.317,4,48,2010-01
-8.802,157.423,4.8,35,2010-01
52.303,-170.299,3.5,26,2010-01
-8.695,157.303,4.1,35,2010-01
-8.673,157.348,4.2,35,2010-01
-8.843,157.547,4.5,35,2010-01
-8.694,157.501,4.6,35,2010-01
1.597,67.811,4.5,10,2010-01
-8.756,157.537,4.5,35,2010-01
32.175,-116.618,3.9,8,2010-01
-8.54,157.346,4.3,35,2010-01
-8.512,157.172,4.1,35,2010-01
-8.558,157.252,4.4,35,2010-01
18.321,-68.863,4.6,169,2010-01
51.483,-176.22,2.6,10,2010-01
-8.948,157.76,5.4,23,2010-01
-3.849,-103.573,4.7,10,2010-01
-8.923,157.618,5.2,37,2010-01
-9.061,157.775,4.5,35,2010-01
-1.745,-81.566,4.8,42,2010-01
53.78,-164.221,2.5,29,2010-01
-55.508,-26.894,4.4,10,2010-01
-8.917,157.606,5.6,30,2010-01
34,-116.294,2.4,4,2010-01
-0.424,122.815,4.6,67,2010-01
52.154,-171.18,4.3,53,2010-01
-8.659,157.083,4.6,35,2010-01
-8.588,157.08,4.3,35,2010-01
-9.098,157.812,5.1,35,2010-01
-15.492,-173.381,4.8,35,2010-01
54.927,-163.153,2.7,148,2010-01
-8.98,157.76,4.7,35,2010-01
59.818,-152.45,2.5,78,2010-01
-6.053,152.391,4.8,35,2010-01
-8.699,157.203,4.6,35,2010-01
-8.567,157.351,4.6,35,2010-01
-8.605,157.255,5.2,35,2010-01
-8.788,157.504,4.7,35,2010-01
-55.549,-26.538,4.5,10,2010-01
-31.588,-179.135,4.5,70,2010-01
-36.984,178.443,4.3,75,2010-01
-9.024,157.605,4.7,35,2010-01
-8.959,157.518,4.2,35,2010-01
-20.959,-178.977,5.2,620,2010-01
-8.375,157.087,5.8,15,2010-01
-8.433,157.053,4.1,35,2010-01
-8.558,157.194,4.4,35,2010-01
-29.808,-178.915,4.6,230,2010-01
-8.734,157.543,4.8,12,2010-01
-8.466,157.138,5.3,35,2010-01
40.277,-123.868,4.1,30,2010-01
40.26,-123.861,2.7,31,2010-01
18.48,-107.038,4.5,10,2010-01
6.79,-73.09,4.3,152,2010-01
8.133,-37.97,4.8,10,2010-01
37.59,-113.03,3.8,5,2010-01
46.91,152.89,4.7,60,2010-01
52.707,-168.36,3.5,12,2010-01
52.968,-168.717,2.5,48,2010-01
-8.815,157.768,4.9,6,2010-01
62.618,-151.919,2.6,109,2010-01
24.152,121.923,4.5,48,2010-01
37.58,-113.04,2.6,4,2010-01
-8.791,157.703,4.5,35,2010-01
35.712,-117.482,3.4,9,2010-01
35.712,-117.485,3.1,9,2010-01
56.52,-156.274,2.7,24,2010-01
0.391,97.041,4.4,35,2010-01
-7.229,120.544,4.9,524,2010-01
-45.252,166.518,4,0,2010-01
-58.95,-25.678,4.5,35,2010-01
-8.462,156.965,4.1,35,2010-01
-9.32,125.021,4.5,35,2010-01
0.838,126.276,4.3,35,2010-01
-8.709,157.303,5.1,41,2010-01
-16.481,-74.034,5,28,2010-01
36.18,25.41,4.5,105,2010-01
10.86,-62.43,4.8,105,2010-01
-23.644,-63.705,4.5,545,2010-01
52.272,-165.101,3.1,18,2010-01
35.958,-117.334,2.8,1,2010-01
37.58,-113.04,3.3,4,2010-01
-58.173,-14.696,6.8,10,2010-01
59.878,-151.452,3.1,72,2010-01
14.019,-91.878,5,47,2010-01
38.552,-123.021,2.1,7,2010-01
40.36,-111.91,2.9,3,2010-01
60.804,-150.991,2.7,62,2010-01
-8.298,157.147,4.5,35,2010-01
-8.522,157.239,4.3,35,2010-01
-8.45,124.85,4.5,35,2010-01
61.615,-140.921,2.9,2,2010-01
47.47,-122.648,2.4,12,2010-01
-9.019,157.551,6.8,15,2010-01
34.707,-85.285,2.6,5,2010-01
-9.032,158.007,5.2,35,2010-01
-8.896,157.777,4,35,2010-01
54.466,-161.446,2.5,15,2010-01
-8.958,157.719,5.1,35,2010-01
-62.778,167.066,4.9,10,2010-01
-8.873,157.713,4.2,35,2010-01
-8.876,157.634,5.3,35,2010-01
-9.05,157.892,6,35,2010-01
-8.89,158.032,5.7,23,2010-01
-8.988,157.721,5.2,43,2010-01
-8.893,157.847,4.4,35,2010-01
32.383,85.273,4.9,54,2010-01
-2.439,121.309,5,38,2010-01
-18.185,-178.383,4.5,584,2010-01
46.78,-112,2.8,11,2010-01
-9.146,158.017,4.5,27,2010-01
-11.174,124.509,4.1,10,2010-01
-21.417,-178.419,4.6,506,2010-01
-8.821,157.696,4.9,35,2010-01
30.087,131.018,4.3,37,2010-01
33.703,-87.37,2.9,1,2010-01
18.269,-64.273,3.5,67,2010-01
63.263,-145.231,2.9,4,2010-01
-9.017,158.083,4.7,35,2010-01
14.221,-91.875,5,67,2010-01
-7.159,154.866,4.5,38,2010-01
59.344,-152.975,2.5,88,2010-01
-9.082,157.705,4.3,35,2010-01
55.605,-161.604,3,158,2010-01
-8.626,157.489,4.5,35,2010-01
-27.396,-71.232,4.5,14,2010-01
-8.87,157.773,4.6,35,2010-01
-9.113,158.032,4.9,35,2010-01
37.809,-122.224,1.8,3,2010-01
-7.86,157.454,5.1,33,2010-01
-9.062,157.763,5.1,35,2010-01
38.031,70.449,4.8,35,2010-01
-36.322,53.386,4.5,10,2010-01
19.37,-155.44,2.5,9,2010-01
17.148,-100.634,4.6,11,2010-01
-27.465,-71.339,4.4,19,2010-01
-49.789,164.192,5.7,10,2010-01
63.149,-141.358,2.5,12,2010-01
57.517,-152.181,3.7,48,2010-01
-58.605,-24.914,4.6,35,2010-01
57.015,-156.413,2.5,77,2010-01
27.477,55.121,4.9,13,2010-01
-41.605,-16.568,5.6,10,2010-01
-41.541,-16.629,4.6,10,2010-01
59.871,-153.156,2.8,126,2010-01
-4.405,151.746,5.3,199,2010-01
42.017,142.291,4.9,70,2010-01
-32.666,-71.633,4.7,32,2010-01
-9.072,158.137,4.1,35,2010-01
14.054,-92.261,4.1,35,2010-01
36.294,141.775,4.5,37,2010-01
32.547,-115.258,3.1,8,2010-01
-21.392,171.341,4.8,35,2010-01
19.094,-66.569,2.9,20,2010-01
19.089,-66.581,3.4,16,2010-01
