Latitude,Longitude,tab
40.745489,-73.907282,Mcdonalds
30.560588,-88.206759,Mcdonalds
30.450498,-88.841228,Mcdonalds
40.834508,-73.85189,Mcdonalds
40.543531,-74.208583,Mcdonalds
32.964245,-102.834327,Mcdonalds
47.161975,-122.289523,Mcdonalds
41.902267,-87.745884,Mcdonalds
42.040709,-87.747736,Mcdonalds
41.370249,-87.573531,Mcdonalds
42.045526,-87.885111,Mcdonalds
36.7787,-119.790654,Mcdonalds
34.201004,-118.542,Mcdonalds
33.976067,-118.373158,Mcdonalds
38.949063,-76.992373,Mcdonalds
38.525114,-121.441882,Mcdonalds
41.522816,-88.117934,Mcdonalds
33.781,-117.914591,Mcdonalds
41.907066,-87.903172,Mcdonalds
41.809664,-87.991077,Mcdonalds
41.990235,-87.710844,Mcdonalds
38.750954,-77.0827,Mcdonalds
41.599763,-87.540326,Mcdonalds
40.559375,-75.487697,Mcdonalds
45.003708,-93.166955,Mcdonalds
39.1893,-84.5807,Mcdonalds
42.5574,-87.8253,Mcdonalds
40.528564,-80.007468,Mcdonalds
38.55619,-90.394609,Mcdonalds
41.778876,-88.315713,Mcdonalds
41.859662,-88.033773,Mcdonalds
42.756489,-84.54395,Mcdonalds
40.7306,-89.612573,Mcdonalds
42.704219,-87.826075,Mcdonalds
41.890002,-87.970706,Mcdonalds
43.039801,-89.394052,Mcdonalds
42.046284,-88.275735,Mcdonalds
42.019404,-87.687647,Mcdonalds
41.972198,-87.806988,Mcdonalds
38.93471,-77.177973,Mcdonalds
27.91435,-82.506217,Mcdonalds
42.094079,-88.005331,Mcdonalds
40.503454,-88.995006,Mcdonalds
41.491535,-90.488188,Mcdonalds
44.5301,-88.0603,Mcdonalds
44.941944,-93.359788,Mcdonalds
42.518014,-89.06511,Mcdonalds
42.703819,-89.006991,Mcdonalds
43.43699,-84.015019,Mcdonalds
28.055197,-81.951361,Mcdonalds
42.025569,-87.802336,Mcdonalds
38.980661,-76.52732,Mcdonalds
38.815215,-76.997968,Mcdonalds
40.119381,-87.636402,Mcdonalds
40.018533,-105.258185,Mcdonalds
42.089748,-80.08548,Mcdonalds
40.19099,-85.381799,Mcdonalds
38.127552,-85.850105,Mcdonalds
42.913518,-85.696066,Mcdonalds
42.297142,-87.956516,Mcdonalds
43.773827,-87.736147,Mcdonalds
30.665542,-88.106416,Mcdonalds
38.869424,-77.177026,Mcdonalds
40.624916,-75.435818,Mcdonalds
41.069431,-85.064244,Mcdonalds
44.0406,-88.5426,Mcdonalds
40.128578,-74.882624,Mcdonalds
40.728099,-73.225062,Mcdonalds
37.182249,-93.296187,Mcdonalds
42.731412,-84.470345,Mcdonalds
40.92585,-74.100038,Mcdonalds
38.57826,-92.192785,Mcdonalds
42.501295,-83.105325,Mcdonalds
38.836689,-104.817655,Mcdonalds
41.687114,-72.707431,Mcdonalds
28.022825,-82.459316,Mcdonalds
26.60964,-81.871876,Mcdonalds
40.960495,-90.383227,Mcdonalds
41.118446,-85.133946,Mcdonalds
43.205576,-86.288976,Mcdonalds
44.049643,-91.681039,Mcdonalds
40.427411,-74.382253,Mcdonalds
44.8027,-91.4698,Mcdonalds
43.7636,-88.4667,Mcdonalds
44.0836,-87.6909,Mcdonalds
42.987716,-88.007486,Mcdonalds
37.664229,-97.298794,Mcdonalds
39.780952,-89.668258,Mcdonalds
42.227225,-84.414951,Mcdonalds
38.964811,-92.335209,Mcdonalds
42.993396,-88.047966,Mcdonalds
41.439263,-81.869706,Mcdonalds
43.592151,-83.915488,Mcdonalds
41.21778,-73.214724,Mcdonalds
40.398494,-104.690986,Mcdonalds
40.725812,-73.493658,Mcdonalds
39.705235,-84.142258,Mcdonalds
42.686642,-84.548141,Mcdonalds
41.912687,-88.336916,Mcdonalds
40.556198,-105.077281,Mcdonalds
42.298034,-85.216368,Mcdonalds
36.088658,-79.774369,Mcdonalds
42.99198,-78.822481,Mcdonalds
39.973609,-82.874522,Mcdonalds
41.060879,-81.454967,Mcdonalds
40.860097,-73.071922,Mcdonalds
41.826317,-87.795012,Mcdonalds
38.855362,-77.316206,Mcdonalds
41.278041,-72.987287,Mcdonalds
45.051892,-93.247425,Mcdonalds
45.52642869,-122.5382262,Mcdonalds
42.318633,-87.866063,Mcdonalds
41.417764,-81.573332,Mcdonalds
42.831854,-78.753665,Mcdonalds
42.523553,-96.416066,Mcdonalds
42.97268,-83.671064,Mcdonalds
38.984223,-76.971252,Mcdonalds
39.37886,-84.54994,Mcdonalds
41.927927,-88.744517,Mcdonalds
35.595899,-82.533207,Mcdonalds
39.740342,-104.859613,Mcdonalds
35.108884,-106.578547,Mcdonalds
40.683769,-73.353792,Mcdonalds
43.044628,-83.732427,Mcdonalds
44.0817,-103.2557,Mcdonalds
41.024236,-80.66334,Mcdonalds
39.685959,-75.73679,Mcdonalds
41.138285,-104.786715,Mcdonalds
40.795007,-81.435129,Mcdonalds
40.520268,-74.395314,Mcdonalds
39.682092,-105.025137,Mcdonalds
39.936185,-75.044523,Mcdonalds
35.08686,-106.577579,Mcdonalds
39.199597,-84.377445,Mcdonalds
41.751737,-87.5651,Mcdonalds
39.067419,-77.128686,Mcdonalds
40.838703,-73.328795,Mcdonalds
43.032321,-85.625219,Mcdonalds
43.6126,-116.2434,Mcdonalds
27.839502,-82.703725,Mcdonalds
30.405498,-87.275401,Mcdonalds
38.809088,-77.09215,Mcdonalds
41.232135,-75.921471,Mcdonalds
