fips_code,value
01001,"18,184"
01003,"61,763"
01005,"10,753"
01007,"6,937"
01009,"19,238"
01011,"4,470"
01013,"7,568"
01015,"45,182"
01017,"12,431"
01019,"8,259"
01021,"14,105"
01023,"4,505"
01025,"7,781"
01027,"4,273"
01029,"4,400"
01031,"18,279"
01033,"19,511"
01035,"3,826"
01037,"3,876"
01039,"13,056"
01041,"4,452"
01043,"29,658"
01045,"21,869"
01047,"15,044"
01049,"23,884"
01051,"28,826"
01053,"13,945"
01055,"37,141"
01057,"5,819"
01059,"11,176"
01061,"8,707"
01063,"2,665"
01065,"5,031"
01067,"5,174"
01069,"38,079"
01071,"19,396"
01073,"267,813"
01075,"5,203"
01077,"33,152"
01079,"11,302"
01081,"60,339"
01083,"24,894"
01085,"3,024"
01087,"9,213"
01089,"127,999"
01091,"6,624"
01093,"11,190"
01095,"33,620"
01097,"155,433"
01099,"6,971"
01101,"100,162"
01103,"44,781"
01105,"3,844"
01107,"6,376"
01109,"11,890"
01111,"7,053"
01113,"19,900"
01115,"24,685"
01117,"67,778"
01119,"4,522"
01121,"29,837"
01123,"14,359"
01125,"75,638"
01127,"23,921"
01129,"4,277"
01131,"3,736"
01133,"8,632"
02013,"1,125"
02016,"3,221"
02020,"140,460"
02050,"5,287"
02060,513
02068,816
02070,"1,540"
02090,"46,164"
02100,"1,084"
02110,"15,757"
02122,"21,402"
02130,"6,742"
02150,"7,656"
02164,446
02170,"27,923"
02180,"3,165"
02185,"3,235"
02188,"2,565"
02201,"2,572"
02220,"4,737"
02232,"1,311"
02240,"2,533"
02261,"4,567"
02270,"1,575"
02280,"2,747"
02282,348
02290,"2,291"
04001,"18,609"
04003,"59,029"
04005,"57,934"
04007,"22,005"
04009,"13,124"
04011,"3,368"
04012,"8,599"
04013,"1,655,473"
04015,"78,471"
04017,"35,150"
04019,"424,542"
04021,"88,480"
04023,"15,754"
04025,"88,823"
04027,"79,456"
05001,"7,588"
05003,"8,674"
05005,"16,500"
05007,"77,796"
05009,"14,790"
05011,"4,414"
05013,"1,901"
05015,"11,048"
05017,"5,021"
05019,"10,971"
05021,"6,691"
05023,"9,875"
05025,"2,845"
05027,"9,975"
05029,"7,294"
05031,"40,443"
05033,"23,348"
05035,"21,801"
05037,"7,476"
05039,"3,398"
05041,"5,503"
05043,"7,715"
05045,"43,603"
05047,"6,587"
05049,"4,420"
05051,"39,464"
05053,"6,119"
05055,"16,449"
05057,"9,286"
05059,"12,107"
05061,"5,612"
05063,"13,599"
05065,"5,622"
05067,"5,974"
05069,"34,156"
05071,"9,902"
05073,"2,529"
05075,"7,298"
05077,"5,246"
05079,"6,243"
05081,"5,140"
05083,"9,121"
05085,"23,942"
05087,"4,833"
05089,"6,798"
05091,"16,892"
05093,"21,952"
05095,"3,704"
05097,"3,140"
05099,"3,448"
05101,"3,065"
05103,"10,194"
05105,"3,788"
05107,"9,552"
05109,"3,774"
05111,"9,768"
05113,"8,248"
05115,"25,136"
05117,"3,207"
05119,"166,329"
05121,"7,372"
05123,"12,438"
05125,"35,397"
05127,"4,260"
05129,"2,817"
05131,"53,449"
05133,"6,480"
05135,"7,004"
05137,"4,072"
05139,"16,888"
05141,"6,180"
05143,"83,264"
05145,"31,328"
05147,"3,005"
05149,"9,563"
06001,"662,872"
06003,483
06005,"15,686"
06007,"99,685"
06009,"17,481"
06011,"7,316"
06013,"413,966"
06015,"14,196"
06017,"69,760"
06019,"358,552"
06021,"10,442"
06023,"58,204"
06025,"62,976"
06027,"7,749"
06029,"320,003"
06031,"68,792"
06033,"26,578"
06035,"17,549"
06037,"4,219,673"
06039,"53,694"
06041,"105,661"
06043,"7,673"
06045,"35,630"
06047,"95,117"
06049,"3,590"
06051,"7,498"
06053,"189,862"
06055,"54,894"
06057,"41,867"
06059,"1,369,622"
06061,"122,472"
06063,"8,698"
06065,"759,549"
06067,"596,879"
06069,"24,638"
06071,"812,442"
06073,"1,436,289"
06075,"341,844"
06077,"253,527"
06079,"125,083"
06081,"287,824"
