ire_constituency,value
Cavan-Monaghan,1
Donegal North-East,2
Donegal South-West,3
Galway East,4
Galway West,5
Mayo,6
Roscommon-South Leitrim,7
Sligo-North Leitrim,8
Cork East,9
Cork North-Central,10
Cork North-West,11
Cork South-Central,12
Cork South-West,13
Dublin Central,14
Dublin Mid-West,15
Dublin North,16
Dublin North-Central,17
Dublin North-East,18
Dublin North-West,19
Dublin South,20
Dublin South-Central,21
Dublin South-East,22
Dublin South-West,23
Dublin West,24
Dun Laoghaire,25
Carlow-Kilkenny,26
Kildare North,27
Kildare South,28
Laois-Offaly,29
Longford-Westmeath,30
Louth,31
Meath East,32
Meath West,33
Wexford,34
Wicklow,35
Clare,36
Kerry North-West Limerick,37
Kerry South,38
Limerick,39
Limerick City,40
Tipperary North,41
Tipperary South,42
Waterford,43
