"latitude","tab_friendlykia","tab_hostnationkia","year","tab_civiliankia","tab_enemykia","longitude"
"32.68331909","0","0","Thu Jan 01 00:00:00 -0500 2004","0","3","69.41610718"
"32.64500046","0","0","Thu Jan 01 00:00:00 -0500 2004","0","8","69.36251068"
"31.0","0","0","Tue Jan 06 00:00:00 -0500 2004","50","0","66.40000153"
"32.09999084","0","3","Tue Jan 06 00:00:00 -0500 2004","0","0","66.90000153"
"32.03332901","0","1","Sat Jan 10 00:00:00 -0500 2004","0","0","65.1333313"
"31.0","0","7","Sat Jan 10 00:00:00 -0500 2004","0","0","66.40000153"
"31.83333015","0","5","Sun Jan 11 00:00:00 -0500 2004","0","0","64.34999847"
"31.96666908","0","2","Sat Jan 17 00:00:00 -0500 2004","0","3","65.48332977"
"32.63388824","0","0","Sun Jan 18 00:00:00 -0500 2004","0","1","65.5030365"
"30.95000076","0","2","Sun Jan 18 00:00:00 -0500 2004","0","0","66.41665649"
"32.09999084","0","2","Fri Jan 23 00:00:00 -0500 2004","0","0","66.90000153"
"34.15832901","0","0","Sat Jan 24 00:00:00 -0500 2004","1","0","61.85194016"
"31.56666946","0","1","Fri Jan 30 00:00:00 -0500 2004","0","0","66.49999237"
"32.51665878","0","1","Mon Feb 09 00:00:00 -0500 2004","0","0","67.41665649"
"31.56666946","0","1","Mon Feb 09 00:00:00 -0500 2004","0","0","66.49999237"
"32.09999084","4","0","Thu Feb 12 00:00:00 -0500 2004","0","0","66.90000153"
"30.16666031","1","0","Fri Feb 13 00:00:00 -0500 2004","0","0","66.19998932"
"32.51665878","0","1","Sat Feb 14 00:00:00 -0500 2004","0","0","67.41665649"
"33.55221939","0","0","Sun Feb 15 00:00:00 -0500 2004","2","0","70.04528046"
"34.98332977","0","0","Wed Feb 25 00:00:00 -0500 2004","5","0","69.66751099"
"31.56666946","0","1","Fri Feb 27 00:00:00 -0500 2004","0","0","67.05000305"
"32.45000076","0","0","Fri Mar 05 00:00:00 -0500 2004","1","0","67.41665649"
"32.9316597","0","0","Fri Mar 05 00:00:00 -0500 2004","0","9","69.45471954"
"32.11664963","0","0","Sun Mar 07 00:00:00 -0500 2004","1","0","66.90000153"
"32.75748825","0","0","Wed Mar 17 00:00:00 -0500 2004","0","1","64.54389954"
"31.81666946","0","0","Wed Mar 17 00:00:00 -0500 2004","0","1","64.56667328"
"32.96554947","2","0","Thu Mar 18 00:00:00 -0500 2004","0","6","65.47721863"
"31.63666916","0","0","Wed Mar 24 00:00:00 -0500 2004","0","1","65.68000031"
"34.40776825","0","0","Mon Mar 29 00:00:00 -0500 2004","0","1","70.49221802"
"33.21250153","0","0","Thu Apr 01 00:00:00 -0500 2004","0","1","69.77805328"
"31.98110962","0","0","Wed Apr 07 00:00:00 -0400 2004","0","1","64.77999878"
"33.42625046","0","11","Thu Apr 15 00:00:00 -0400 2004","0","0","64.01112366"
"33.42139053","0","0","Tue Apr 20 00:00:00 -0400 2004","0","2","70.00137329"
"31.01139069","0","2","Wed Apr 21 00:00:00 -0400 2004","0","0","66.40415955"
"31.64332962","0","0","Thu Apr 22 00:00:00 -0400 2004","0","1","65.73583221"
"30.98055077","0","0","Thu Apr 22 00:00:00 -0400 2004","1","0","66.18055725"
"31.56500053","0","2","Mon Apr 26 00:00:00 -0400 2004","0","0","65.42111206"
"31.5","0","0","Tue Apr 27 00:00:00 -0400 2004","2","0","65.84998322"
"31.53333092","0","3","Fri Apr 30 00:00:00 -0400 2004","0","0","65.33334351"
"31.61667061","0","1","Fri Apr 30 00:00:00 -0400 2004","0","0","65.69998932"
"32.51665878","0","1","Sat May 01 00:00:00 -0400 2004","0","1","67.41665649"
"35.33472061","0","0","Sun May 02 00:00:00 -0400 2004","3","0","70.8088913"
"32.51665878","0","15","Mon May 03 00:00:00 -0400 2004","0","0","67.41665649"
"31.89999962","0","4","Mon May 03 00:00:00 -0400 2004","0","0","67.63333893"
"29.51664925","0","2","Tue May 04 00:00:00 -0400 2004","0","0","64.08332062"
"32.44998932","0","0","Wed May 05 00:00:00 -0400 2004","0","1","65.6333313"
"32.09999084","0","6","Wed May 05 00:00:00 -0400 2004","0","0","66.90000153"
"34.99528122","0","0","Wed May 05 00:00:00 -0400 2004","3","0","70.45834351"
"31.5","0","1","Wed May 05 00:00:00 -0400 2004","0","1","65.91665649"
"31.96666908","0","3","Fri May 07 00:00:00 -0400 2004","0","0","65.48332977"
"30.76664925","0","2","Sat May 08 00:00:00 -0400 2004","0","0","65.83334351"
"32.51665878","0","1","Sat May 08 00:00:00 -0400 2004","0","0","67.41665649"
"32.6333313","0","1","Sun May 09 00:00:00 -0400 2004","0","0","65.01667023"
"36.84500122","0","0","Mon May 10 00:00:00 -0400 2004","12","0","68.91278076"
"32.18193054","0","0","Wed May 12 00:00:00 -0400 2004","0","1","66.19082642"
"32.68249893","0","0","Thu May 13 00:00:00 -0400 2004","0","1","69.43305206"
"33.42625046","0","6","Fri May 14 00:00:00 -0400 2004","0","0","64.01112366"
"32.17694092","0","2","Mon May 17 00:00:00 -0400 2004","0","1","66.51027679"
"33.30443954","2","0","Tue May 18 00:00:00 -0400 2004","0","0","68.24582672"
"33.01332855","0","0","Thu May 20 00:00:00 -0400 2004","0","1","69.2022171"
"32.81666946","0","1","Fri May 21 00:00:00 -0400 2004","0","0","64.56667328"
"31.96665955","0","0","Sat May 22 00:00:00 -0400 2004","1","0","65.98332977"
"34.52917099","0","0","Sun May 23 00:00:00 -0400 2004","1","0","69.30832672"
"35.55000305","0","0","Sun May 23 00:00:00 -0400 2004","2","0","67.81666565"
"35.54999924","0","0","Sun May 23 00:00:00 -0400 2004","2","0","67.81667328"
"33.42625046","0","1","Sun May 23 00:00:00 -0400 2004","5","0","64.01112366"
"32.81666946","0","3","Sun May 23 00:00:00 -0400 2004","0","0","64.56667328"
"32.51639175","0","1","Thu May 27 00:00:00 -0400 2004","0","0","67.41638947"
"32.06666946","0","1","Fri May 28 00:00:00 -0400 2004","0","2","64.81665802"
"32.0886116","4","0","Sat May 29 00:00:00 -0400 2004","0","0","67.24276733"
"32.1347084","0","0","Sun May 30 00:00:00 -0400 2004","0","7","67.33222961"
"32.45000076","0","5","Sun May 30 00:00:00 -0400 2004","0","2","64.73332977"
"32.51665878","0","3","Tue Jun 01 00:00:00 -0400 2004","0","0","67.41665649"
"32.11194992","1","0","Wed Jun 02 00:00:00 -0400 2004","0","0","66.90055084"
"35.89999008","0","0","Wed Jun 02 00:00:00 -0400 2004","5","0","64.48332977"
"34.21665955","0","1","Fri Jun 04 00:00:00 -0400 2004","0","0","70.17027283"
"34.0","0","1","Sun Jun 06 00:00:00 -0400 2004","0","0","69.0847168"
"31.56666946","0","0","Sun Jun 06 00:00:00 -0400 2004","0","30","67.05000305"
"32.6080513","0","0","Mon Jun 07 00:00:00 -0400 2004","0","10","66.63944244"
"32.64332962","1","0","Mon Jun 07 00:00:00 -0400 2004","0","0","65.46193695"
"32.80611038","0","0","Tue Jun 08 00:00:00 -0400 2004","0","78","66.58611298"
"32.53250122","0","0","Tue Jun 08 00:00:00 -0400 2004","0","23","66.70638275"
"32.56555939","0","0","Mon Jun 14 00:00:00 -0400 2004","0","2","66.45722198"
"34.16165924","0","0","Mon Jun 14 00:00:00 -0400 2004","0","2","70.14333344"
"31.6133194","0","1","Tue Jun 15 00:00:00 -0400 2004","0","0","65.70165253"
"33.45388031","0","0","Tue Jun 15 00:00:00 -0400 2004","1","0","69.05722809"
"33.42625046","0","1","Tue Jun 15 00:00:00 -0400 2004","0","0","64.01112366"
"33.45388031","0","0","Tue Jun 15 00:00:00 -0400 2004","1","0","69.05722809"
"33.97472","0","2","Wed Jun 16 00:00:00 -0400 2004","0","1","63.72610092"
"36.71665955","0","0","Wed Jun 16 00:00:00 -0400 2004","4","0","68.8666687"
"32.55527878","0","0","Thu Jun 17 00:00:00 -0400 2004","1","0","67.05166626"
"35.58332825","0","0","Sat Jun 19 00:00:00 -0400 2004","2","0","63.33333969"
"32.19778061","0","2","Sat Jun 19 00:00:00 -0400 2004","0","0","66.52555084"
"31.75943947","0","1","Mon Jun 21 00:00:00 -0400 2004","0","0","65.62999725"
"32.90639114","0","0","Tue Jun 22 00:00:00 -0400 2004","0","2","69.44999695"
"31.76388931","0","1","Tue Jun 22 00:00:00 -0400 2004","0","0","65.60722351"
"32.34999847","0","0","Thu Jun 24 00:00:00 -0400 2004","14","0","67.43332672"
"34.50247955","0","1","Fri Jun 25 00:00:00 -0400 2004","0","0","69.30832672"
"33.68333054","0","0","Fri Jun 25 00:00:00 -0400 2004","1","0","69.3666687"
"34.41611099","0","0","Sat Jun 26 00:00:00 -0400 2004","3","0","70.47888947"
"35.22721863","0","0","Sat Jun 26 00:00:00 -0400 2004","0","3","71.4833374"
"32.91804886","0","0","Sun Jun 27 00:00:00 -0400 2004","0","3","65.45388794"
"31.87055969","0","0","Sun Jun 27 00:00:00 -0400 2004","0","5","67.02832031"
"32.39694977","0","0","Wed Jun 30 00:00:00 -0400 2004","0","4","66.66416931"
"33.0588913","0","0","Thu Jul 01 00:00:00 -0400 2004","0","1","65.53830719"
"34.22360992","0","1","Thu Jul 01 00:00:00 -0400 2004","0","0","62.26250076"
"31.46637917","0","1","Mon Jul 05 00:00:00 -0400 2004","0","2","65.33026123"
"32.31304932","0","0","Mon Jul 05 00:00:00 -0400 2004","0","1","67.19139099"
"32.5566597","0","0","Tue Jul 06 00:00:00 -0400 2004","0","1","66.59111023"
"32.97499847","0","0","Tue Jul 06 00:00:00 -0400 2004","0","1","65.49610901"
"32.47415161","0","0","Wed Jul 07 00:00:00 -0400 2004","6","0","62.46527863"
"34.23638916","0","0","Thu Jul 08 00:00:00 -0400 2004","1","0","70.18250275"
"32.5169487","0","0","Sat Jul 10 00:00:00 -0400 2004","0","1","66.54387665"
"33.98860931","0","0","Sun Jul 11 00:00:00 -0400 2004","2","0","69.08722687"
"34.30028152","0","0","Sun Jul 11 00:00:00 -0400 2004","5","0","62.42028046"
"34.50804901","0","0","Sun Jul 18 00:00:00 -0400 2004","1","0","69.23693848"
"32.66360855","0","0","Mon Jul 19 00:00:00 -0400 2004","0","4","65.43332672"
"32.34553909","0","0","Mon Jul 19 00:00:00 -0400 2004","0","1","67.79972076"
"32.12554932","0","0","Mon Jul 19 00:00:00 -0400 2004","0","1","67.80304718"
"34.97222137","0","9","Fri Jul 23 00:00:00 -0400 2004","0","0","71.44970703"
"32.625","0","0","Sat Jul 24 00:00:00 -0400 2004","0","3","65.54694366"
"34.88888931","0","0","Mon Jul 26 00:00:00 -0400 2004","1","0","71.05638885"
"33.30250168","0","0","Wed Jul 28 00:00:00 -0400 2004","2","0","68.48166656"
"32.91553879","0","0","Wed Jul 28 00:00:00 -0400 2004","1","0","69.3602829"
"33.88721085","0","1","Wed Jul 28 00:00:00 -0400 2004","0","0","63.25111008"
"32.40972137","0","0","Thu Jul 29 00:00:00 -0400 2004","0","1","67.53778076"
"33.20832825","0","3","Thu Jul 29 00:00:00 -0400 2004","0","0","70.11026764"
"32.6555481","0","0","Fri Jul 30 00:00:00 -0400 2004","0","4","69.39861298"
"32.93333054","0","4","Sat Jul 31 00:00:00 -0400 2004","0","0","66.6333313"
"33.72888947","0","0","Mon Aug 02 00:00:00 -0400 2004","2","0","68.90028381"
"31.46166039","0","1","Mon Aug 02 00:00:00 -0400 2004","0","0","64.53778076"
"33.36639023","0","0","Tue Aug 03 00:00:00 -0400 2004","2","0","68.93305206"
"32.4197197","0","0","Wed Aug 04 00:00:00 -0400 2004","0","1","66.65387726"
"32.78527832","0","0","Sat Aug 07 00:00:00 -0400 2004","0","3","66.04472351"
"32.66249084","2","0","Sat Aug 07 00:00:00 -0400 2004","1","0","67.70139313"
"33.37332916","0","0","Sat Aug 07 00:00:00 -0400 2004","0","1","67.82248688"
"34.41666031","0","0","Mon Aug 09 00:00:00 -0400 2004","0","2","70.44999695"
"32.71667099","0","0","Mon Aug 09 00:00:00 -0400 2004","0","1","67.6333313"
"32.09999084","0","1","Mon Aug 09 00:00:00 -0400 2004","0","0","66.90000153"
"31.56666946","0","1","Wed Aug 11 00:00:00 -0400 2004","0","0","66.49999237"
"33.25165939","1","0","Thu Aug 12 00:00:00 -0400 2004","0","0","69.9327774"
"31.0","0","2","Fri Aug 13 00:00:00 -0400 2004","0","0","64.0"
"34.96583176","0","0","Wed Aug 18 00:00:00 -0400 2004","0","7","70.89694214"
"32.51499939","0","0","Wed Aug 18 00:00:00 -0400 2004","0","1","67.68276978"
