zip_code,value
93307,322
93722,250
95814,188
90044,185
95112,174
95340,174
95205,171
92101,170
90011,169
96001,167
90744,158
90805,158
92335,144
93308,143
93257,140
90003,139
93274,137
90802,136
91744,136
95823,134
90047,133
93535,131
92570,130
95901,128
90018,126
91342,125
93305,124
95821,124
90037,121
92345,118
95815,118
93230,117
93534,117
94590,114
94565,114
93706,113
92021,113
90650,113
95351,112
95206,111
90043,111
95111,111
95828,111
92376,110
93702,109
92407,109
94544,107
96003,107
95501,107
93304,106
90220,103
95966,101
95660,101
95820,101
90255,100
94509,100
93638,100
90013,98
95354,98
95126,97
95076,96
93550,96
93905,95
95838,95
92404,95
91331,95
92392,93
92410,91
92553,91
94533,91
92544,89
91732,88
90660,88
95965,88
90813,88
93727,88
90026,87
92114,87
95370,87
90007,87
90250,87
95127,85
95531,84
90016,84
95350,83
96080,83
90806,83
94541,82
90706,82
95822,82
90280,82
90019,82
94605,81
93721,81
95020,80
90063,79
93291,79
95691,79
91766,79
94080,79
90032,79
92054,78
95116,78
94103,78
90022,78
92311,78
90304,78
90062,78
92509,77
92399,77
93726,77
93705,77
95670,76
96007,76
93728,76
94601,76
90810,76
94558,76
95307,75
93306,75
94102,75
92507,74
94603,74
91343,74
95203,74
90002,74
95202,73
94591,73
93309,73
95380,73
90001,72
95240,72
93454,72
92105,71
95608,71
95422,71
94577,71
90006,71
94806,71
90201,71
93612,71
92543,70
95610,70
92503,70
92020,70
93906,69
95407,69
93703,69
90247,69
96002,69
90042,68
93277,68
93635,68
95825,68
90731,68
93030,68
90057,67
92501,67
95336,67
94621,67
93637,67
94063,67
92284,67
91767,66
90033,66
95695,66
92801,66
92040,66
95991,66
95842,66
90065,66
92882,66
94124,65
95125,65
92583,65
92240,65
90008,65
95207,64
94804,64
95122,64
92308,64
95482,63
90640,63
91911,63
93536,63
95050,62
92530,62
93292,62
95841,62
93301,62
92307,61
93001,61
90004,61
91977,61
95301,61
95037,60
95376,60
93436,60
92324,60
95401,60
95621,60
95023,60
90059,60
94607,60
93033,59
95667,59
92083,59
90023,59
95824,59
92113,59
92571,59
93725,58
92154,58
91910,58
92346,58
95355,58
91762,58
95128,58
90221,58
95204,57
92408,57
92704,57
95035,57
92545,57
95123,56
95969,56
95826,56
95136,56
94110,56
90014,56
90061,56
90017,56
92411,55
93555,55
95687,55
90620,54
95215,54
92027,54
92683,54
95961,54
94608,54
90745,54
93446,54
92277,54
91730,53
94112,53
95404,53
92336,53
91335,53
92104,53
91950,53
95209,53
94553,52
90670,52
90241,52
92223,51
95678,51
90804,51
90031,51
90301,51
95210,50
93458,50
91710,50
92071,50
92804,50
92405,50
90501,49
91786,49
93704,49
95945,49
90222,48
94801,48
92025,48
95833,48
92703,47
92102,47
95817,47
93215,47
95503,47
95356,47
95358,47
92220,47
93701,47
95148,47
94520,46
94612,46
92806,46
95973,46
91405,46
92301,45
92115,45
94109,45
94086,45
95628,45
90015,45
90262,44
95926,44
91402,44
92504,44
95603,44
90606,44
91702,44
92627,44
94587,43
90604,43
93618,42
94606,42
91401,42
95110,42
93955,42
92201,42
91761,42
93101,42
91706,42
92374,42
94015,42
94545,41
90012,41
92234,41
91945,41
95662,41
95818,41
91340,41
95060,41
92586,41
94538,41
90303,40
94578,40
92316,40
91768,40
92647,40
93003,40
94589,39
92833,39
95648,39
91752,39
92243,39
93662,39
90631,39
95361,39
90302,39
92084,38
92626,38
92506,38
95928,38
92805,38
96021,38
95605,38
95124,37
90242,37
93401,37
93657,37
95008,37
92019,37
91306,37
91941,36
95843,36
94560,36
95624,36
95827,36
95993,36
91764,36
95133,36
90638,36
92505,36
91770,36
93313,36
92557,35
91304,35
91605,35
96022,35
96150,35
93004,34
90260,34
93422,34
92225,34
95632,34
92116,34
92117,34
93455,34
95661,34
93901,34
90723,34
93245,34
95051,34
93312,34
91748,34
94952,33
96097,33
92840,33
93907,33
92371,33
92395,33
94536,33
95963,33
90270,33
91406,33
92867,32
91801,32
92356,32
93063,32
92551,32
90020,32
92057,32
93268,32
95219,32
94585,32
95121,32
93041,32
90807,32
95062,31
92841,31
93551,31
93710,31
95519,31
95673,31
95403,31
90605,31
92707,31
94602,31
95367,31
91107,31
91763,30
95337,30
91345,30
91722,30
91731,30
93610,30
95117,30
91104,30
92394,30
94561,30
95831,30
92026,30
94550,30
92706,29
92252,29
93247,29
90029,29
90249,29
95212,29
92056,29
93065,29
94134,29
91352,28
93514,28
92373,28
91733,28
94928,28
95338,28
94513,28
91103,28
92139,28
92126,28
91601,28
93221,28
94014,28
93552,28
92648,27
93654,27
