mex_muni,value
"tlaxcoapan, hidalgo",3
"juarez hidalgo, hidalgo",3
"yogana, oaxaca",7
"san ignacio rio muerto, sonora",8
"topia, durango",4
"cozumel, quintana roo",8
"zitlala, guerrero",4
"san francisco telixtlahuaca, oaxaca",0
"san juan juquila vijanos, oaxaca",7
"altamirano, chiapas",7
"san luis potosi, san luis potosi",7
"tepeyahualco, puebla",5
"san andres tepetlapa, oaxaca",5
"texcatepec, veracruz de ignacio de la llave",9
"sacramento, coahuila de zaragoza",3
"tamuin, san luis potosi",8
"la yesca, nayarit",4
"manuel doblado, guanajuato",1
"xalatlaco, mexico",7
"montecristo de guerrero, chiapas",3
"santiago ayuquililla, oaxaca",3
"cajeme, sonora",4
"san bartolome ayautla, oaxaca",0
"tenancingo, mexico",2
"tila, chiapas",6
"tlapacoyan, veracruz de ignacio de la llave",2
"huatabampo, sonora",1
"frontera hidalgo, chiapas",8
"cerritos, san luis potosi",5
"temoac, morelos",8
"santa cruz tacache de mina, oaxaca",8
"santa maria huazolotitlan, oaxaca",2
"santiago textitlan, oaxaca",8
"chinicuila, michoacan de ocampo",9
"villa corona, jalisco",1
"chiapas oaxaca, chiapas oaxaca",1
"guachochi, chihuahua",4
"merida, yucatan",7
"jonotla, puebla",6
"taxco de alarcun, guerrero",7
"atizapan, mexico",8
"guadalupe de ramirez, oaxaca",1
"concepciun buenavista, oaxaca",6
"melchor ocampo, nuevo leun",2
"villa hidalgo, jalisco",9
"penjamo, guanajuato",9
"jose joaquin de herrera, guerrero",5
"benito juarez, tlaxcala",0
"san juan mixtepec - dto. 08 -, oaxaca",2
"huaniqueo, michoacan de ocampo",0
"gonzalez, tamaulipas",9
"santa ana yareni, oaxaca",8
"coacalco de berriozabal, mexico",5
"almoloya, hidalgo",5
"santiago comaltepec, oaxaca",9
"carbu, sonora",1
"lupez, chihuahua",4
"zaragoza, coahuila de zaragoza",6
"navolato, sinaloa",1
"mochitlan, guerrero",9
"teocaltiche, jalisco",0
"arcelia, guerrero",7
"santa maria temaxcaltepec, oaxaca",3
"santa maria yosoyua, oaxaca",6
"terrenate, tlaxcala",4
"san agustin chayuco, oaxaca",8
"villa talea de castro, oaxaca",0
"mazatlan, sinaloa",0
"san baltazar chichicapam, oaxaca",4
"copanatoyac, guerrero",8
"quitupan, jalisco",8
"santa cruz nundaco, oaxaca",4
"san miguel soyaltepec, oaxaca",7
"carmen, nuevo leun",0
"tepetitlan, hidalgo",6
"san pedro amuzgos, oaxaca",6
"san sebastian abasolo, oaxaca",5
"olinala, guerrero",9
"metztitlan, hidalgo",2
"jaumave, tamaulipas",4
"villa purificaciun, jalisco",6
"ahuacuotzingo, guerrero",6
"chapulco, puebla",5
"tuxtla chico, chiapas",0
"apulco, zacatecas",0
"xochiltepec, puebla",3
"tzimol, chiapas",5
"calera, zacatecas",1
"chiautla, mexico",0
"huatlatlauca, puebla",5
"guadalupe, chihuahua",7
"miquihuana, tamaulipas",4
"jalacingo, veracruz de ignacio de la llave",0
"san pedro jocotipac, oaxaca",8
"lerdo de tejada, veracruz de ignacio de la llave",4
"san miguel piedras, oaxaca",9
"valle de santiago, guanajuato",0
"iturbide, nuevo leun",7
"san juan bautista coixtlahuaca, oaxaca",5
"asunciun cuyotepeji, oaxaca",5
"jiquilpan, michoacan de ocampo",1
"san felipe jalapa de diaz, oaxaca",2
"san pedro molinos, oaxaca",5
"frontera comalapa, chiapas",9
"comondu, baja california sur",9
"villagran, tamaulipas",1
"san pedro nopala, oaxaca",1
"cuatro cienegas, coahuila de zaragoza",4
"tetipac, guerrero",1
"acultzingo, veracruz de ignacio de la llave",6
"tecozautla, hidalgo",8
"huandacareo, michoacan de ocampo",2
"santa maria del oro, jalisco",0
"santiago camotlan, oaxaca",5
"amecameca, mexico",4
"ixhuatlan del sureste, veracruz de ignacio de la llave",3
"san juan chicomezuchil, oaxaca",2
"loma bonita, oaxaca",6
"amanalco, mexico",2
"tochimilco, puebla",1
"asunciun ocotlan, oaxaca",4
"huejotzingo, puebla",8
"santa apolonia teacalco, tlaxcala",8
"el llano, aguascalientes",3
"san nicolas de los ranchos, puebla",0
"castanos, coahuila de zaragoza",5
"pantepec, chiapas",2
"cucurpe, sonora",1
"valladolid, yucatan",6
"omitlan de juarez, hidalgo",1
"trincheras, sonora",8
"santa cruz amilpas, oaxaca",1
"san ildefonso sola, oaxaca",0
"epitacio huerta, michoacan de ocampo",5
"san juan teita, oaxaca",3
"san miguel quetzaltepec, oaxaca",4
"san lorenzo, oaxaca",4
"honey, puebla",7
"santa lucia del camino, oaxaca",3
"tlacotepec de mejia, veracruz de ignacio de la llave",7
"mama, yucatan",6
"janos, chihuahua",3
"tlahuiltepa, hidalgo",1
"cocula, jalisco",7
"san francisco del oro, chihuahua",9
"ahuacatlan, puebla",0
"tzitzio, michoacan de ocampo",5
"moroleun, guanajuato",3
"tlaquilpa, veracruz de ignacio de la llave",6
"sahuayo, michoacan de ocampo",3
"concepciun de buenos aires, jalisco",8
"teococuilco de marcos perez, oaxaca",1
"jalpan de serra, queretaro arteaga",0
"dr. coss, nuevo leun",8
"solidaridad, quintana roo",3
"san andres tenejapan, veracruz de ignacio de la llave",6
"naco, sonora",9
"zacapoaxtla, puebla",8
"santa maria tlalixtac, oaxaca",8
"san antonio acutla, oaxaca",0
"mineral del monte, hidalgo",8
"san simun almolongas, oaxaca",2
"la uniun de isidoro montes de oca, guerrero",5
"asunciun nochixtlan, oaxaca",4
"apazapan, veracruz de ignacio de la llave",1
"villaflores, chiapas",4
"santa maria del rosario, oaxaca",2
"san pedro cholula, puebla",3
"bolanos, jalisco",0
"tangancicuaro, michoacan de ocampo",3
"santa catalina quieri, oaxaca",9
"osumacinta, chiapas",7
"tehuacan, puebla",1
"casas grandes, chihuahua",8
"marin, nuevo leun",7
"atitalaquia, hidalgo",9
"othun p. blanco, quintana roo",3
"acuna, coahuila de zaragoza",9
"coyuca de benitez, guerrero",2
"vetagrande, zacatecas",1
"ocampo, chihuahua",9
"acaponeta, nayarit",4
"chiquilistlan, jalisco",9
"tapalapa, chiapas",3
"las rosas, chiapas",4
"totoltepec de guerrero, puebla",3
"nezahualcuyotl, mexico",6
"chiautempan, tlaxcala",6
"san ildefonso amatlan, oaxaca",6
"apaxco, mexico",5
"arteaga, coahuila de zaragoza",4
"tarimoro, guanajuato",7
"nopala de villagran, hidalgo",6
"xilitla, san luis potosi",3
"ciudad fernandez, san luis potosi",3
"san martin zacatepec, oaxaca",4
"santo domingo, san luis potosi",2
"temax, yucatan",3
"ahuacatlan, nayarit",1
"carrillo puerto, veracruz de ignacio de la llave",8
"baca, yucatan",2
"tepeyahualco de cuauhtemoc, puebla",6
"tlaltetela, veracruz de ignacio de la llave",4
"maguarichi, chihuahua",0
"la cruz, chihuahua",5
"cuichapa, veracruz de ignacio de la llave",0
"chahuites, oaxaca",0
"xochitlan todos santos, puebla",6
"altar, sonora",5
"quecholac, puebla",9
"san fernando, chiapas",6
"ixtlahuacan de los membrillos, jalisco",2
"esperanza, puebla",1
"chumatlan, veracruz de ignacio de la llave",3
"tlaxco, tlaxcala",0
"santiago tepetlapa, oaxaca",9
"general panfilo natera, zacatecas",8
"santa maria sola, oaxaca",0
"juchitan, guerrero",8
"tuxtla gutierrez, chiapas",0
"piedras negras, coahuila de zaragoza",9
"antiguo morelos, tamaulipas",8
"delicias, chihuahua",5
"santiago yosondua, oaxaca",6
"cadereyta de montes, queretaro arteaga",1
"hidalgotitlan, veracruz de ignacio de la llave",2
"canada morelos, puebla",2
"las vigas de ramirez, veracruz de ignacio de la llave",0
"chietla, puebla",2
"atlixco, puebla",7
"santo domingo tonala, oaxaca",4
"tetela del volcan, morelos",5
"jerez, zacatecas",9
"san nicolas hidalgo, oaxaca",5
"atotonilco el alto, jalisco",3
"ilamatlan, veracruz de ignacio de la llave",9
"cojumatlan de regules, michoacan de ocampo",9
"tepexi de rodriguez, puebla",6
"chalcatongo de hidalgo, oaxaca",5
"santa catarina, nuevo leun",7
"san andres duraznal, chiapas",1
"balancan, tabasco",3
"san pedro coxcaltepec cantaros, oaxaca",5
"metlatunoc, guerrero",3
"zacatepec de hidalgo, morelos",8
"rodeo, durango",3
"ocampo, coahuila de zaragoza",1
"san pedro de la cueva, sonora",7
"ayotzintepec, oaxaca",5
"tenango del aire, mexico",3
"cuencame, durango",2
"mesones hidalgo, oaxaca",5
"chapulhuacan, hidalgo",6
"jaltipan, veracruz de ignacio de la llave",7
"san miguel achiutla, oaxaca",4
"zacatlan, puebla",4
"momax, zacatecas",6
"san jerunimo taviche, oaxaca",1
"xicohtzinco, tlaxcala",8
"emiliano zapata, tabasco",2
"cotija, michoacan de ocampo",1
"aldama, chihuahua",5
"sucila, yucatan",5
"tula, tamaulipas",6
"nextlalpan, mexico",1
"santa lucia ocotlan, oaxaca",9
"tapilula, chiapas",4
"atizapan de zaragoza, mexico",3
"xocchel, yucatan",9
"jimenez, chihuahua",2
"coacoatzintla, veracruz de ignacio de la llave",2
"san felipe del progreso, mexico",2
"allende, nuevo leun",9
"epatlan, puebla",9
"martir de cuilapan, guerrero",0
"acambay, mexico",7
"villa guerrero, mexico",1
"san pedro yaneri, oaxaca",6
"durango, durango",3
"san bartolome loxicha, oaxaca",0
"cacahoatan, chiapas",4
"viesca, coahuila de zaragoza",8
"chemax, yucatan",1
"tancoco, veracruz de ignacio de la llave",3
"villa sola de vega, oaxaca",2
"san pablo yaganiza, oaxaca",9
"san juan de guadalupe, durango",1
"burgos, tamaulipas",4
"alaquines, san luis potosi",2
"citlaltepetl, veracruz de ignacio de la llave",2
"coroneo, guanajuato",4
"akil, yucatan",7
"atenango del rio, guerrero",2
"san antonio, san luis potosi",4
"contla de juan cuamatzi, tlaxcala",4
"tezonapa, veracruz de ignacio de la llave",7
"san miguel ejutla, oaxaca",2
"metapa, chiapas",8
"huetamo, michoacan de ocampo",7
"oteapan, veracruz de ignacio de la llave",0
"tecoanapa, guerrero",4
"santa cruz zenzontepec, oaxaca",5
"san juan bautista guelache, oaxaca",2
"ures, sonora",5
"santiago astata, oaxaca",3
"santa maria mixtequilla, oaxaca",0
"villa de tamazulapam del progreso, oaxaca",1
"palenque, chiapas",6
"san mateo nejapam, oaxaca",7
