value,address
   1,"#66 MORRIS ST MORRISTOWN TOWN, NJ"
   2,"#87 RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   3,"1 AIRPORT RD MORRISTOWN TOWN, NJ"
   2,"1 ANN ST MORRISTOWN TOWN, NJ"
   1,"1 HILLAIRY AVENUE MORRISTOWN TOWN, NJ"
   2,"1 LAFAYETTE AVE MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVE (P 2) LEVEL MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVE and P2 PARKING DECK MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVE and SPRING ST MORRISTOWN TOWN, NJ"
  27,"1 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVE P 1 MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVE P 2 MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVE P 2 NORTH LEVEL MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVE P/N LOT MORRISTOWN TOWN, NJ"
   2,"1 SPEEDWELL AVENUE MORRISTOWN TOWN, NJ"
   2,"1 WASHINGTON AVE and PHILLIP PL MORRISTOWN TOWN, NJ"
   3,"1 WASHINGTON AVE MORRISTOWN TOWN, NJ"
   1,"10 ABBETT AVE MORRISTOWN TOWN, NJ"
   2,"10 COLUMBA ST LOT MORRISTOWN TOWN, NJ"
   2,"10 COLUMBA ST MORRISTOWN TOWN, NJ"
   2,"10 COLUMBIA ST MORRISTOWN TOWN, NJ"
   4,"10 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"10 MARTIN LUTHER KING and WILLOW AVE MORRISTOWN TOWN, NJ"
   5,"10 WASHINGTON ST MORRISTOWN TOWN, NJ"
   5,"100 FRANKLIN ST MORRISTOWN TOWN, NJ"
   2,"100 MADISON AV MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE (GPU P/LOT) MORRISTOWN TOWN, NJ"
   1,"100 MADISON AVE 1 ST LEVEL VISITOR LOT MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE and ER AMBULANCE ENTRANCE MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE and PARKING LOT MORRISTOWN TOWN, NJ"
   1,"100 MADISON AVE DECK CANCER CENTER PARKING MORRISTOWN TOWN, NJ"
   1,"100 MADISON AVE GPU GARAGE MORRISTOWN TOWN, NJ"
   1,"100 MADISON AVE JCP & L LOT 1 ST LEVEL MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE JCP & L LOT MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE JCPL 4 MORRISTOWN TOWN, NJ"
   1,"100 MADISON AVE LOT C MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE MMH and JCP&L DECK MORRISTOWN TOWN, NJ"
 167,"100 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE VISITOR LOT 471 MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE VISITOR LOT MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE VISITOR MORRISTOWN TOWN, NJ"
   2,"100 MADISON AVE VISITORS LOT LEVEL 1 MORRISTOWN TOWN, NJ"
   5,"100 MADISON AVENUE MORRISTOWN TOWN, NJ"
   2,"100 MADISON MORRISTOWN TOWN, NJ"
   2,"100 SOUTH ST MORRISTOWN TOWN, NJ"
   1,"100 SOUTH STREET MORRISTOWN TOWN, NJ"
   1,"101 MADISON AVE MORRISTOWN TOWN, NJ"
   1,"101 MADISON AVENUE MORRISTOWN TOWN, NJ"
   2,"102 RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   1,"102 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   1,"104 RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   2,"104 WASHINGTON ST and PARKING LOT # 104 MORRISTOWN TOWN, NJ"
   2,"105 MORRIS ST MORRISTOWN TOWN, NJ"
   4,"109 MORRIS ST MORRISTOWN TOWN, NJ"
   1,"109 MORRIS STREET MORRISTOWN TOWN, NJ"
   4,"11 CATTANO AVE MORRISTOWN TOWN, NJ"
   2,"11 VALLEY VIEW DR MORRISTOWN TOWN, NJ"
  11,"110 WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"111 MADISON AV MORRISTOWN TOWN, NJ"
   6,"111 MADISON AVE MORRISTOWN TOWN, NJ"
   3,"114 FRANKLIN ST MORRISTOWN TOWN, NJ"
   1,"117 SPEEDWELL AVE and EARLY STREET MORRISTOWN TOWN, NJ"
   2,"117 SPEEDWELL AVE and PARKING LOT MORRISTOWN TOWN, NJ"
   6,"117 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"12 DEHART ST and MAPLE AVE MORRISTOWN TOWN, NJ"
   2,"12 DEHART ST and PARKING LOT MORRISTOWN TOWN, NJ"
  12,"12 DEHART ST MORRISTOWN TOWN, NJ"
   2,"12 DEHART STREET MORRISTOWN TOWN, NJ"
   2,"12 WILLOW STREET MORRISTOWN TOWN, NJ"
   2,"122 MORRIS ST (REAR) MORRISTOWN TOWN, NJ"
  14,"122 MORRIS ST MORRISTOWN TOWN, NJ"
   4,"125 MORRIS ST MORRISTOWN TOWN, NJ"
   2,"131 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"131 SPEEDWELL AVE and PARKING LOT (BLOCK B MORRISTOWN TOWN, NJ"
   1,"131 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"139 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   1,"142 SPEEDWELL AVE LOT MORRISTOWN TOWN, NJ"
   2,"142 SPEEDWELL AVENUE MORRISTOWN TOWN, NJ"
   2,"147 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"147 SPEEDWELL AVENUE MORRISTOWN TOWN, NJ"
   1,"149 WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"15 MOUNT KEMBLE AVE MORRISTOWN TOWN, NJ"
