state,value,republican vote,time
Alabama,38.7,60.3,2008
Alaska,37.9,59.4,2008
Arizona,45.1,53.6,2008
Arkansas,38.9,58.7,2008
California,61.0,37.0,2008
Colorado,53.7,44.7,2008
Connecticut,60.6,38.2,2008
Delaware,61.9,36.9,2008
Florida,51.0,48.2,2008
Georgia,47.0,52.2,2008
Hawaii,71.8,26.6,2008
Idaho,36.1,61.5,2008
Illinois,61.9,36.8,2008
Indiana,49.9,48.9,2008
Iowa,53.7,44.2,2008
Kansas,41.7,56.6,2008
Kentucky,41.2,57.4,2008
Louisiana,39.9,58.6,2008
Maine,57.7,40.4,2008
Maryland,61.9,36.5,2008
Massachusetts,61.8,36.0,2008
Michigan,57.4,41.0,2008
Minnesota,54.1,43.8,2008
Mississippi,43.0,56.2,2008
Missouri,49.3,49.4,2008
Montana,47.3,49.5,2008
Nebraska,41.6,56.5,2008
Nevada,55.1,42.7,2008
"New Hampshire",54.4,44.7,2008
"New Jersey",57.3,41.7,2008
"New Mexico",56.9,41.8,2008
"New York",62.8,36.1,2008
"North Carolina",49.7,49.4,2008
"North Dakota",44.6,53.3,2008
Ohio,51.5,46.9,2008
Oklahoma,34.4,65.6,2008
Oregon,56.7,40.4,2008
Pennsylvania,54.3,44.0,2008
"Rhode Island",63.1,35.2,2008
"South Carolina",44.9,53.9,2008
"South Dakota",44.7,53.2,2008
Tennessee,41.8,56.9,2008
Texas,43.7,55.5,2008
Utah,34.4,62.6,2008
Vermont,67.5,30.4,2008
Virginia,52.6,46.3,2008
Washington,57.7,40.5,2008
"West Virginia",42.6,55.7,2008
Wisconsin,56.2,42.3,2008
Wyoming,32.4,64.4,2008
Alabama,36.8,62.5,2004
Alaska,35.5,61.1,2004
Arizona,44.4,54.9,2004
Arkansas,44.5,54.3,2004
California,54.3,44.4,2004
Colorado,47.0,51.7,2004
Connecticut,54.3,43.9,2004
Delaware,53.3,45.8,2004
Florida,47.1,52.1,2004
Georgia,41.4,58.0,2004
Hawaii,54.0,45.3,2004
Idaho,30.3,68.4,2004
Illinois,54.8,44.5,2004
Indiana,39.3,59.9,2004
Iowa,49.2,49.9,2004
Kansas,36.6,62.0,2004
Kentucky,39.7,59.5,2004
Louisiana,42.2,56.7,2004
Maine,53.6,44.6,2004
Maryland,55.9,42.9,2004
Massachusetts,61.9,36.8,2004
Michigan,51.2,47.8,2004
Mississippi,39.8,59.5,2004
Missouri,46.1,53.3,2004
Montana,38.6,59.1,2004
Nebraska,32.7,65.9,2004
Nevada,47.9,50.5,2004
"New Hampshire",50.2,48.9,2004
"New Jersey",52.9,46.2,2004
"New Mexico",49.0,49.8,2004
"New York",58.4,40.1,2004
"North Carolina",43.6,56.0,2004
"North Dakota",35.5,62.9,2004
Ohio,48.7,50.8,2004
Oklahoma,34.4,65.6,2004
Oregon,51.3,47.2,2004
Pennsylvania,50.9,48.4,2004
"Rhode Island",59.4,38.7,2004
"South Carolina",40.9,58.0,2004
"South Dakota",38.4,59.9,2004
Tennessee,42.5,56.8,2004
Texas,38.2,61.1,2004
Utah,26.0,71.5,2004
Vermont,58.9,38.8,2004
Virginia,45.5,53.7,2004
Washington,52.8,45.6,2004
"West Virginia",43.2,56.1,2004
Wisconsin,49.7,49.3,2004
Wyoming,29.1,68.9,2004
Alabama,41.6,56.5,2000
Alaska,27.7,58.6,2000
Arizona,44.7,51.0,2000
Arkansas,45.9,51.3,2000
California,53.4,41.7,2000
Colorado,42.4,50.8,2000
Connecticut,55.9,38.4,2000
Delaware,55.0,41.9,2000
Florida,48.8,48.8,2000
Georgia,43.0,54.7,2000
Hawaii,55.8,37.5,2000
Idaho,27.6,67.2,2000
Illinois,54.6,42.6,2000
Indiana,41.0,56.6,2000
Iowa,48.5,48.2,2000
Kansas,37.2,58.0,2000
