tihert,7
stif,10
saida,5
tlemcen,7
tizi ouzou,7
skidda,9
sidi bel abbes,3
biskra,9
bugia,1
ain defla,4
adrar,5
bona,6
ain tamouchent,8
batna,7
vialar,2
tipaza,4
tiaret,5
tamenghest,7
souk ahras,2
relizane,4
wargla,9
mestghanem,1
bechar,6
tbessa,6
argel,5
msila,5
medea,1
canrobert,4
mascara,9
oran,5
jijel,1
laghouat,1
djelfa,4
guelma,6
blida,10
bouira,4
mila,3
naama,2
el tarf,5
gharday,9
ilizi,1
khenchela,8
boumerdes,3
chlef,5
el bayad,9
biskra,6
borjbouarirej,5
