karelia,10
penza,2
lipetsk,5
pskov,9
kamchatka,4
kirov,4
belgorod,3
mari,9
bashkir,8
ivanovo,3
mordov,1
kursk,3
kurgan,5
kaluga,4
kalmyk,6
adygey,6
oirot,6
aga buryat,2
amur,2
altay,7
astrachan,6
vologda,6
simbirsk,3
udmurt,5
vladimir,1
ust-orda buryat,4
vologda,2
volgograd,2
yamal-nenets,8
kuzey osetya,6
tambov,2
"yaroslavl""",2
samara,2
irkutsk,10
chukot,6
"ryazan""",3
rostov,1
kazan,3
kaliningrad,4
smolensk,3
kabard,2
voronezh,9
mosca,5
maga buryatdan,7
leningrad,4
novgorod,7
chukchi autonomous okrug,10
kemerovo,1
tomsk,3
sakhalin,5
moskovsskaya,5
evrey,1
tula,5
saratov,4
khabarovsk,10
khakass,3
k,1
gorky,10
komi,6
"stavropol""",7
evenk,9
ingush,5
chuvash,1
dagistan,2
chita,10
kostroma,1
cecenia,1
chelyabinsk,7
bryansk,5
buryat,4
kuban,5
primorsk,9
"tyumen""",6
tyva,6
"perm""",8
yeniseisk,6
taymyr,5
novosibirsk,7
nenets,6
"tver""",10
orel,8
sverdlovsk,1
omsk,6
samara,3
