long an,8
soc trang,4
qung tr,9
an giang,6
tha thien - hu,1
dak lak,10
ninh thun,4
cao bng,5
qung binh,8
kien giang,3
ho chi minh,8
lam dong,10
dien bien,2
tuyen quang,10
gia lai,2
binh thun,3
binh djnh,8
ba ria - vtau,2
thai nguyen,7
south east,6
ninh binh,8
bn tre,10
dong thap,6
phu th,2
nam dinh,3
red river delta,4
ha nam,8
vinh phuc,2
thai nguyen,4
dja nng,2
khanh hoa,8
qung nam,5
phu yen,10
yen bai,7
qung ninh,9
qung ngai,6
lng son,7
ha giang,3
thanh hoa,7
thai binh,5
son la,8
tay ninh,6
qung ninh,2
ha tay,1
dja nng,2
hi duong,7
ngh an,1
bc ninh,10
djong bc,3
bc lieu,6
lao cai,4
bc giang,3
binh phuc,2
ca mau,4
ha tinh,4
binh duong,3
