lat,lon,value,tab
-0,-78.4,1,Twitter
-0,0,5,Twitter
-0,109.3,198,Twitter
-0,109.4,3,Twitter
-0.1,-78.4,1,Twitter
-0.1,-78.5,17,Twitter
-0.1,-79.3,1,Twitter
-0.1,109.3,5,Twitter
-0.1,109.4,12,Twitter
-0.1,34.8,2,Twitter
-0.2,-78.4,3,Twitter
-0.2,-78.5,213,Twitter
-0.2,-79.2,2,Twitter
-0.2,100.6,3,Twitter
-0.2,115.7,1,Twitter
-0.3,-78.5,1,Twitter
-0.3,100.2,1,Twitter
-0.3,100.4,19,Twitter
-0.3,100.5,1,Twitter
-0.3,100.6,1,Twitter
-0.3,103.2,1,Twitter
-0.3,117.1,1,Twitter
-0.3,36.1,4,Twitter
-0.4,100.4,2,Twitter
-0.4,100.6,1,Twitter
-0.4,102.5,1,Twitter
-0.4,117,11,Twitter
-0.4,117.1,1,Twitter
-0.4,117.2,2,Twitter
-0.5,100.4,2,Twitter
-0.5,101.5,2,Twitter
-0.5,117.1,66,Twitter
-0.5,117.2,99,Twitter
-0.6,-47.3,1,Twitter
-0.6,-63.4,2,Twitter
-0.6,100.8,1,Twitter
-0.6,117.1,2,Twitter
-0.6,35.3,1,Twitter
-0.7,-90.3,1,Twitter
-0.7,100.8,2,Twitter
-0.7,73.1,1,Twitter
-0.8,100.3,2,Twitter
-0.8,100.6,1,Twitter
-0.8,100.7,1,Twitter
-0.8,103.5,2,Twitter
-0.8,117,1,Twitter
-0.8,119.9,3,Twitter
-0.8,35.4,1,Twitter
-0.9,-52.5,1,Twitter
-0.9,-80.7,12,Twitter
-0.9,100.3,9,Twitter
-0.9,100.4,256,Twitter
-0.9,100.5,5,Twitter
-0.9,117,1,Twitter
-0.9,119.8,2,Twitter
-0.9,119.9,29,Twitter
-0.9,122.8,1,Twitter
-0.9,131.2,1,Twitter
-0.9,131.3,2,Twitter
-0.9,134,2,Twitter
-0.9,134.1,1,Twitter
-0.9,35.4,1,Twitter
-1,-79.5,1,Twitter
-1,-80.5,2,Twitter
-1,-80.7,2,Twitter
-1,100.4,32,Twitter
-1,103.1,1,Twitter
-1,114.9,1,Twitter
-1,122.8,3,Twitter
-1,37.1,3,Twitter
-1.1,-80.4,2,Twitter
-1.1,-80.5,1,Twitter
-1.1,36.7,1,Twitter
-1.2,-78.6,6,Twitter
-1.2,116.8,18,Twitter
-1.2,116.9,40,Twitter
-1.2,136.1,1,Twitter
-1.2,34.6,1,Twitter
-1.2,36.7,1,Twitter
-1.2,36.9,1,Twitter
-1.3,-47.9,6,Twitter
-1.3,-78.6,1,Twitter
-1.3,116.6,1,Twitter
-1.3,116.8,181,Twitter
-1.3,116.9,11,Twitter
-1.3,117,1,Twitter
-1.3,176,3,Twitter
-1.3,36.7,1,Twitter
-1.3,36.8,406,Twitter
-1.3,36.9,2,Twitter
-1.4,-48.4,14,Twitter
-1.4,-48.5,8,Twitter
-1.4,103.9,1,Twitter
-1.4,116.7,1,Twitter
-1.4,120.8,1,Twitter
-1.4,120.9,1,Twitter
-1.4,16.3,1,Twitter
-1.4,36.9,1,Twitter
-1.4,37.8,1,Twitter
-1.4,38,1,Twitter
-1.5,-48.5,48,Twitter
-1.5,-48.6,2,Twitter
-1.5,-52.6,1,Twitter
-1.5,101.1,1,Twitter
-1.5,102.1,1,Twitter
-1.6,-79.8,1,Twitter
-1.6,103.5,2,Twitter
