value,address
   4,TX 76651
   1,TX 76112
   3,TX 76084
  47,TX 76065
   1,TX 76039
   5,TX 76017
   1,TX 76012
   1,TX 76006
   1,TX 76002
   1,TX 75416
   3,TX 75253
  42,TX 75249
   1,TX 75247
 144,TX 75241
  83,TX 75237
  31,TX 75236
  29,TX 75233
 239,TX 75232
   1,TX 75231
   3,TX 75228
   6,TX 75227
   1,TX 75226
 179,TX 75224
   1,TX 75219
  20,TX 75217
 181,TX 75216
   2,TX 75215
   1,TX 75214
  10,TX 75212
  33,TX 75211
   2,TX 75210
   9,TX 75208
   2,TX 75206
   2,TX 75204
  17,TX 75203
  18,TX 75172
  44,TX 75167
 213,TX 75165
   1,TX 75159
 506,TX 75154
  12,TX 75152
   2,TX 75150
   5,TX 75149
 348,TX 75146
  32,TX 75141
   1,TX 75138
  56,TX 75137
 276,TX 75134
  17,TX 75125
   7,TX 75119
  42,TX 75116
 604,TX 75115
 350,TX 75104
   2,TX 75062
   3,TX 75054
  19,TX 75052
   2,TX 75051
   2,TX 75050
   2,TX 75035
