Name,Latitude,Longitude,Lines
Acton Town ,51.5025,-0.278126," District,Piccadilly"
Acton Central ,51.50883531,-0.263033174,London Overground
Acton Central ,51.50856013,-0.262879534,London Overground
Aldgate ,51.51394,-0.07537,Metropolitan 
Aldgate East ,51.51514,-0.07178,"District,Hammersmith & City"
Alperton ,51.54097,-0.30061,Piccadilly
Amersham ,51.67435,-0.60732,Metropolitan 
Angel ,51.53253,-0.10579,Northern 
Archway ,51.56536,-0.13474,Northern
Arnos Grove ,51.61625,-0.13355,Piccadilly
Arsenal ,51.55847,-0.10561,Piccadilly
Baker Street ,51.52265,-0.15704,"Circle,Hammersmith & City "
Baker Street ,51.522236,-0.15708,"Bakerloo,Jubilee "
Balham ,51.44344113,-0.152945844,Northern 
Bank ,51.5134047,-0.08905843,"Central,Waterloo & City"
Barbican ,51.520865,-0.097758,"Circle,Hammersmith & City,Metropolitan "
Barking ,51.54079,+0.08018 ,"District,Hammersmith & City"
Barkingside ,51.58543,+0.08854 ,Central
Barons Court ,51.490281,-0.21434,"Piccadilly,District"
Bayswater ,51.51224,-0.187569,"Circle,District"
Becontree ,51.54029,+0.12620 ,District
Belsize Park ,51.55036,-0.16465,Northern
Bermondsey ,51.49813,-0.0635,Jubilee
Bethnal Green ,51.52718,-0.05504,Central 
Blackfriars ,51.5114403,-0.1041905,"Circle,District"
Blackhorse Road ,51.58698,-0.04104,Victoria
Bond Street ,51.51461,-0.14897,"Central,Jubilee "
Borough ,51.50095,-0.09446,Northern
Boston Manor ,51.495371,-0.325573,Piccadilly
Bounds Green ,51.607,-0.12418,Piccadilly
Bow Road ,51.52709,-0.02482,"District,Hammersmith & City"
Brent Cross ,51.57693,-0.21414,Northern
Brixton ,51.46239,-0.115421,Victoria
Bromley-by-Bow ,51.52466,-0.01282,"District,Hammersmith & City"
Brondesbury ,51.54505,-0.20297,London Overground
Brondesbury Park ,51.5406,-0.21093,London Overground
Buckhurst Hill ,51.62611,+0.04705 ,Central
Burnt Oak ,51.603,-0.26427,Northern
Caledonian Road ,51.5485,-0.11802,Piccadilly
Caledonian Road & Barnesbury ,51.54326,-0.11544,London Overground
Camden Road ,51.54192,-0.13981,London Overground
Camden Town ,51.5393,-0.14316,Northern 
Canada Water ,51.49787 ,-0.04967 ,East London
Canary Wharf ,51.50362,-0.01987,Jubilee 
Cannon Street ,51.51141,-0.09047,"Circle,District"
Canonbury ,51.54822,-0.09632,London Overground
Canons Park ,51.6081,-0.29487,Jubilee
Chalfont & Latimer ,51.66822,-0.56053,Metropolitan 
Chalk Farm ,51.5439,-0.15384,Northern
Chancery Lane ,51.51836,-0.11115,Central
Charing Cross ,51.507108,-0.122963,"Bakerloo,Northern"
Chesham ,51.70522733,-0.610986426,Metropolitan 
Chigwell ,51.61795,+0.07511 ,Central
Chiswick Park ,51.49466,-0.26866,District
Chorleywood ,51.65429872,-0.518373353,Metropolitan 
City Thameslink ,51.51416,-0.10335,Thameslink
Clapham Common ,51.46156,-0.13802,Northern
Clapham North ,51.46522,-0.1295,Northern
Clapham South ,51.45292257,-0.147562148,Northern
Cockfosters ,51.65117,-0.14811,Piccadilly
Colindale ,51.59556,-0.24996,Northern
Colliers Wood ,51.41823649,-0.17800983,Northern
Covent Garden ,51.51308,-0.12427,Piccadilly 
Croxley ,51.64733268,-0.441479115,Metropolitan 
Dagenham East ,51.54396,+0.16439 ,District
Dagenham Heathway ,51.54173,+0.14543 ,District
Dalston Kingsland ,51.54832,-0.07879,London Overground
Debden ,51.64535,+0.08364 ,Central
Dollis Hill ,51.5525,-0.23884,Jubilee
Ealing Broadway ,51.51482,-0.30118,"Central,District"
Ealing Common ,51.50997,-0.28825,"District,Piccadilly"
Earl's Court ,51.491521,-0.193906,"District,Piccadilly"
East Acton ,51.51753,-0.24827,Central
East Finchley ,51.5872974705487,-0.16495632312818,Northern
East Ham ,51.53931,+0.05260 ,"District,Hammersmith & City"
East Putney ,51.459015,-0.211138,District
Eastcote ,51.57676,-0.39629,"Metropolitan,Piccadilly"
Edgware ,51.61385,-0.27515,Northern 
Edgware Road (Bakerloo Line) ,51.51956,-0.169068,Bakerloo 
Edgware Road (Circle Line) ,51.520195,-0.166986,"Circle,District,Hammersmith & City "
Elephant & Castle ,51.49467,-0.10047,"Bakerloo,Northern"
Elm Park ,51.54969,+0.19779 ,District
Embankment ,51.50717,-0.12195,"Bakerloo,Circle,District,Northern"
Epping ,51.69365,+0.11495 ,Central
Euston ,51.52774,-0.13303,Northern 
Euston Square ,51.52584,-0.1357,"Circle,Hammersmith & City,Metropolitan "
Fairlop ,51.59634,+0.09125 ,Central
Farringdon ,51.520362948,-0.105126482,"Circle,Hammersmith & City,Metropolitan "
Farringdon ,51.520086,-0.104789,"Circle,Hammersmith & City,Metropolitan "
Finchley Central ,51.60102,-0.1924,Northern
