lat,lon,value
-0,-78.4,1
-0,0,5
-0,109.3,198
-0,109.4,3
-0.1,-78.4,1
-0.1,-78.5,17
-0.1,-79.3,1
-0.1,109.3,5
-0.1,109.4,12
-0.1,34.8,2
-0.2,-78.4,3
-0.2,-78.5,213
-0.2,-79.2,2
-0.2,100.6,3
-0.2,115.7,1
-0.3,-78.5,1
-0.3,100.2,1
-0.3,100.4,19
-0.3,100.5,1
-0.3,100.6,1
-0.3,103.2,1
-0.3,117.1,1
-0.3,36.1,4
-0.4,100.4,2
-0.4,100.6,1
-0.4,102.5,1
-0.4,117,11
-0.4,117.1,1
-0.4,117.2,2
-0.5,100.4,2
-0.5,101.5,2
-0.5,117.1,66
-0.5,117.2,99
-0.6,-47.3,1
-0.6,-63.4,2
-0.6,100.8,1
-0.6,117.1,2
-0.6,35.3,1
-0.7,-90.3,1
-0.7,100.8,2
-0.7,73.1,1
-0.8,100.3,2
-0.8,100.6,1
-0.8,100.7,1
-0.8,103.5,2
-0.8,117,1
-0.8,119.9,3
-0.8,35.4,1
-0.9,-52.5,1
-0.9,-80.7,12
-0.9,100.3,9
-0.9,100.4,256
-0.9,100.5,5
-0.9,117,1
-0.9,119.8,2
-0.9,119.9,29
-0.9,122.8,1
-0.9,131.2,1
-0.9,131.3,2
-0.9,134,2
-0.9,134.1,1
-0.9,35.4,1
-1,-79.5,1
-1,-80.5,2
-1,-80.7,2
-1,100.4,32
-1,103.1,1
-1,114.9,1
-1,122.8,3
-1,37.1,3
-1.1,-80.4,2
-1.1,-80.5,1
-1.1,36.7,1
-1.2,-78.6,6
-1.2,116.8,18
-1.2,116.9,40
-1.2,136.1,1
-1.2,34.6,1
-1.2,36.7,1
-1.2,36.9,1
-1.3,-47.9,6
-1.3,-78.6,1
-1.3,116.6,1
-1.3,116.8,181
-1.3,116.9,11
-1.3,117,1
-1.3,176,3
-1.3,36.7,1
-1.3,36.8,406
-1.3,36.9,2
-1.4,-48.4,14
-1.4,-48.5,8
-1.4,103.9,1
-1.4,116.7,1
-1.4,120.8,1
-1.4,120.9,1
-1.4,16.3,1
-1.4,36.9,1
-1.4,37.8,1
-1.4,38,1
-1.5,-48.5,48
-1.5,-48.6,2
-1.5,-52.6,1
-1.5,101.1,1
-1.5,102.1,1
-1.6,-79.8,1
-1.6,103.5,2
-1.6,103.6,48
-1.6,103.7,1
-1.7,-78.6,2
-1.8,-79.3,1
-1.8,-79.5,1
-1.8,106.1,4
-1.8,110,2
-1.8,113.8,10
-1.8,115.9,1
-1.9,-54.7,4
-1.9,106.1,2
-1.9,116.2,1
-1.9,136.3,1
-10,-67.8,122
-10.1,-36.2,1
-10.1,123.5,1
-10.2,-48.3,74
-10.2,-51.1,1
-10.2,-55,3
-10.2,123.6,16
-10.2,123.7,1
-10.3,-36.5,5
-10.3,-36.6,1
-10.3,-49,2
-10.3,-63.7,4
-10.4,-62.5,5
-10.4,-77.2,1
-10.5,-40.2,1
-10.5,-40.3,2
-10.5,-68.6,1
-10.7,-37.4,4
-10.7,-38.6,2
-10.7,-48.4,4
-10.7,-69.8,1
-10.7,-76.3,1
-10.8,-37.2,3
-10.8,-55.5,3
-10.9,-37,1
-10.9,-37.1,556
-10.9,-37.7,8
-10.9,-69.6,1
-11,-37,1
-11,-37.1,1
-11.1,-37.1,1
-11.1,-76,4
-11.2,-37.9,12
-11.2,-40.5,1
-11.3,-57.7,5
-11.4,-39.5,1
-11.4,-40,1
-11.4,-58.7,3
-11.4,-61.4,4
-11.7,-49.1,15
-11.7,-76.3,1
-11.8,-55.5,1
-11.8,-77.2,2
-11.9,-55.5,29
-11.9,-76.7,1
-11.9,-77.1,1
-12,-40.6,1
-12,-76.9,1
-12,-77,1208
-12,-77.1,13
-12,17.5,1
-12.1,-38.4,3
-12.1,-41.1,1
-12.1,-45,21
-12.1,-75.2,6
-12.1,-76.8,1
-12.1,-76.9,5
-12.1,-77,89
-12.1,-77.1,29
-12.1,96.8,8
-12.2,-76.9,1
-12.2,-77,6
-12.2,136.8,1
-12.2,96.8,1
-12.3,-39,85
-12.3,-40.2,1
-12.3,-76.9,1
-12.4,-37.9,1
-12.4,-38.3,1
-12.4,-39.1,33
-12.4,-76.8,1
-12.4,130.9,4
-12.5,-38,1
-12.5,-40.3,2
-12.5,130.8,59
-12.5,131,1
-12.6,-39.1,9
-12.6,-52.2,1
-12.6,-55.7,8
-12.7,-38.5,2
-12.7,-60.1,1
-12.7,-76.6,1
-12.7,45.1,1
-12.8,-60.1,13
-12.8,-76.6,1
-12.9,-38.3,34
-12.9,-38.5,3
-13,-38.4,4
-13,-38.5,2622
-13,-39.3,1
-13,-44.1,2
-13,-46.8,1
-13.1,-39.6,1
-13.1,-60.5,1
-13.2,-39.5,1
-13.2,-43.4,1
-13.2,-56,5
-13.3,-43.4,1
-13.3,-72.1,1
-13.4,-39.1,1
-13.5,-72,1
-13.6,-172.5,5
-13.6,-72.1,20
-13.7,-39.5,1
-13.8,-56.1,1
-13.8,-57.9,1
-13.9,-40.1,1
-13.9,-56.1,2
-13.9,-57.2,1
-14,33.8,1
-14.1,-39.6,2
-14.1,-39.7,1
-14.1,-46.4,1
-14.1,-48.1,17
-14.1,-75.7,9
-14.2,-42.8,1
-14.2,-56.3,123
-14.3,-170.7,1
-14.4,-56.4,1
-14.4,143.3,1
-14.5,-42.6,8
-14.5,-48.5,1
-14.6,-57.5,1
-14.7,-39.4,2
-14.7,-39.6,2
-14.7,-49.6,6
-14.7,28.1,2
-14.8,-39,1
-14.8,-39.3,59
-14.9,-39,1
-14.9,-40.8,20
-15,-51.1,2
-15,-57.2,1
-15.1,-57.1,1
-15.2,-49.8,1
-15.2,-59.3,3
-15.3,-40.3,1
-15.4,-39,1
-15.4,28.3,25
-15.5,-47.3,11
-15.5,-47.6,2
-15.5,-55.2,6
-15.5,-55.7,1
-15.5,-70.1,1
-15.6,-47.7,7
-15.6,-47.8,1
-15.6,-47.9,1
-15.6,-54.3,10
-15.6,-56.1,32
-15.7,-47.8,4
-15.7,-47.9,7
-15.7,-56.1,2
-15.8,-42.2,2
-15.8,-43.1,1
-15.8,-47.8,471
-15.8,-47.9,955
-15.8,-48,14
-15.8,-48.1,36
-15.8,-54.9,1
-15.8,35,6
-15.9,-47.8,1
-15.9,-47.9,82
-15.9,-48,3
-15.9,-48.1,3
-15.9,-50.2,35
-15.9,-55,1
-15.9,-70,5
-16,-39.5,1
-16,-39.9,1
-16,-48.1,21
-16,-55,2
-16.1,-47.9,2
-16.1,-48,1
-16.3,-47.9,1
-16.3,-49,11
-16.3,-71.6,51
-16.4,-39,1
-16.4,-39.6,1
-16.4,-46.9,1
-16.4,-47.8,1
-16.4,-71.5,2
-16.5,-151.7,11
-16.5,-39.1,27
-16.5,-51.1,1
-16.5,-54.6,13
-16.5,-68.1,91
-16.5,-68.2,1
-16.5,145.5,1
-16.6,-39.1,2
-16.6,-41.8,1
-16.6,-49.2,31
-16.6,-49.5,3
-16.6,34.1,3
-16.7,-43.8,2
-16.7,-43.9,107
-16.7,-49.1,2
-16.7,-49.2,5
-16.7,-49.3,244
-16.8,-47.6,2
-16.8,-49.2,1
-16.8,-49.3,5
-16.8,145.7,1
-16.9,145.7,3
-16.9,145.8,82
-17,-39.6,2
-17.2,-43.9,1
-17.2,-46.9,3
-17.2,34.4,2
-17.3,-44.9,5
-17.3,-48.3,2
-17.3,-48.8,1
-17.3,-49,2
-17.3,-49.9,7
-17.3,-53.2,1
-17.4,-40.2,1
-17.4,-66.2,21
-17.5,-39.7,25
-17.5,146,2
-17.6,-39.7,1
-17.6,-52.5,5
-17.7,-149.4,11
-17.7,-48.2,1
-17.7,-48.6,14
-17.7,-49.1,2
-17.7,168.3,1
-17.8,-179.3,8
-17.8,-40.3,5
-17.8,-42.6,2
-17.8,-50.6,1
-17.8,-50.9,24
-17.8,-63.2,9
-17.8,177.2,1
-17.8,177.4,1
-17.8,25.2,2
-17.8,31.1,20
-17.8,31.3,1
-17.9,-41.5,7
-17.9,-42.1,1
-17.9,122.2,1
-17.9,19.7,2
-17.9,25.9,1
-18,-46.9,2
-18,-67.1,5
-18,-70.3,9
-18,122.2,1
-18.1,-48.3,1
-18.1,-49.1,1
-18.1,-49.4,2
-18.1,177.4,1
-18.1,178.4,11
-18.2,-43.6,12
-18.2,-45.2,1
-18.2,-47.9,2
-18.3,-47.1,3
-18.4,-49.2,17
-18.4,-70.3,1
-18.5,-54.7,2
-18.5,-70.3,88
-18.6,-43.4,1
-18.6,-46.5,63
-18.6,-48.2,23
-18.6,-48.7,1
-18.7,-39.8,2
-18.7,-39.9,1
-18.7,-41.4,1
-18.7,-44.4,2
-18.7,-47.5,1
-18.8,-41.9,86
-18.9,-47,6
-18.9,-48.2,4
-18.9,-48.3,10
-18.9,-50.6,1
-18.9,47.5,13
-19,-49.5,26
-19,-57.6,1
-19,-65.3,6
-19.2,-41.4,1
-19.2,-42.5,1
-19.2,-47.7,1
-19.2,146.8,1
-19.3,-41.2,3
-19.3,-46.1,1
-19.3,-48.9,1
-19.3,146.8,91
-19.4,-40.1,16
-19.4,-44.2,1
-19.5,-40.6,38
-19.5,-42.1,1
-19.5,-42.5,128
-19.5,-42.6,16
-19.5,-44.2,51
-19.5,-49.5,1
-19.6,-41.2,1
-19.6,-43.2,28
-19.6,-43.6,1
