uk_council,value,tooltip,,,,
Aberdeen City Council,210400,"Aberdeen City Council - 210,000",,,,
Aberdeenshire Council,241500,"Aberdeenshire Council - 242,000",,,,
Adur District Council,60700,"Adur District Council - 61,000",,,,
Allerdale Borough Council,94500,"Allerdale Borough Council - 95,000",,,,
Amber Valley Borough Council,121100,"Amber Valley Borough Council - 121,000",,,,
Angus Council,110300,"Angus Council - 110,000",,,,
Antrim Borough Council,53200,"Antrim Borough Council - 53,000",,,,
Ards Borough Council,77600,"Ards Borough Council - 78,000",,,,
Argyll and Bute Council,90500,"Argyll and Bute Council - 91,000",,,,
Armagh,58200,"Armagh - 58,000",,,,
Arun District Council,146600,"Arun District Council - 147,000",,,,
Ashfield District Council,116500,"Ashfield District Council - 117,000",,,,
Ashford Borough Council,113500,"Ashford Borough Council - 114,000",,,,
Aylesbury Vale District Council,176000,"Aylesbury Vale District Council - 176,000",,,,
Babergh District Council,87000,"Babergh District Council - 87,000",,,,
Ballymena,62700,"Ballymena - 63,000",,,,
Ballymoney Borough Council,30100,"Ballymoney Borough Council - 30,000",,,,
Banbridge District Council,47000,"Banbridge District Council - 47,000",,,,
Barnsley Borough Council,225900,"Barnsley Borough Council - 226,000",,,,
Barrow-in-Furness Borough Council,71800,"Barrow-in-Furness Borough Council - 72,000",,,,
Basildon District Council,172600,"Basildon District Council - 173,000",,,,
Basingstoke and Deane Borough Council,161700,"Basingstoke and Deane Borough Council - 162,000",,,,
Bassetlaw District Council,112200,"Bassetlaw District Council - 112,000",,,,
Bath and North East Somerset Council,180300,"Bath and North East Somerset Council - 180,000",,,,
Bedford Borough Council,155700,"Bedford Borough Council - 156,000",,,,
Belfast City Council,268300,"Belfast City Council - 268,000",,,,
Birmingham City Council,1016800,"Birmingham City Council - 1,017,000",,,,
Blaby District Council,93400,"Blaby District Council - 93,000",,,,
Blackburn with Darwen Borough Council,140700,"Blackburn with Darwen Borough Council - 141,000",,,,
Blackpool Council,141900,"Blackpool Council - 142,000",,,,
Blaenau Gwent County Borough,69100,"Blaenau Gwent County Borough - 69,000",,,,
Bolsover District Council,74300,"Bolsover District Council - 74,000",,,,
Bolton Metropolitan Borough Council,262800,"Bolton Metropolitan Borough Council - 263,000",,,,
Boston Borough Council,58300,"Boston Borough Council - 58,000",,,,
Bournemouth Borough Council,163900,"Bournemouth Borough Council - 164,000",,,,
Bracknell Forest Council,114700,"Bracknell Forest Council - 115,000",,,,
Bradford Metropolitan Council,501700,"Bradford Metropolitan Council - 502,000",,,,
Braintree District Council,142100,"Braintree District Council - 142,000",,,,
Breckland District Council,131800,"Breckland District Council - 132,000",,,,
Brentwood Borough Council,73200,"Brentwood Borough Council - 73,000",,,,
Bridgend County Borough Council,134800,"Bridgend County Borough Council - 135,000",,,,
Brighton and Hove City Council,256600,"Brighton and Hove City Council - 257,000",,,,
Bristol City Council,421300,"Bristol City Council - 421,000",,,,
Broadland District Council,123300,"Broadland District Council - 123,000",,,,
Bromsgrove District Council,92800,"Bromsgrove District Council - 93,000",,,,
Broxbourne Council,90100,"Broxbourne Council - 90,000",,,,
Broxtowe Borough Council,112000,"Broxtowe Borough Council - 112,000",,,,
Buckinghamshire County Council,482577,"Buckinghamshire County Council - 483,000",,,,
Burnley Borough Council,87300,"Burnley Borough Council - 87,000",,,,
Bury Metropolitan Borough Council,183100,"Bury Metropolitan Borough Council - 183,000",,,,
Caerphilly County Borough Council,172400,"Caerphilly County Borough Council - 172,000",,,,
Calderdale,201800,"Calderdale - 202,000",,,,
Cambridge City Council,122800,"Cambridge City Council - 123,000",,,,
Cambridgeshire County Council,769100,"Cambridgeshire County Council - 769,000",,,,
Cannock Chase District Council,94800,"Cannock Chase District Council - 95,000",,,,
Canterbury City Council,149700,"Canterbury City Council - 150,000",,,,
Cardiff Council,324800,"Cardiff Council - 325,000",,,,
Carlisle City Council,103700,"Carlisle City Council - 104,000",,,,
