uk_district_code,value
11UB,1
11UC,2
11UE,3
11UF,4
12UB,5
12UC,6
12UD,7
12UE,8
12UG,9
16UB,1
16UC,2
16UD,3
16UE,4
16UF,5
16UG,6
17UB,7
17UC,8
17UD,9
17UF,1
17UG,2
17UH,3
17UJ,4
17UK,5
18UB,6
18UC,7
18UD,8
18UE,9
18UG,1
18UH,2
18UK,3
18UL,4
19UC,5
19UD,6
19UE,7
19UG,8
19UH,9
19UJ,1
21UC,2
21UD,3
21UF,4
21UG,5
21UH,6
22UB,7
22UC,8
22UD,9
22UE,1
22UF,2
22UG,3
22UH,4
22UJ,5
22UK,6
22UL,7
22UN,8
22UQ,9
23UB,1
23UC,2
23UD,3
23UE,4
23UF,5
23UG,6
24UB,7
24UC,8
24UD,9
24UE,1
24UF,2
24UG,3
24UH,4
24UJ,5
24UL,6
24UN,7
24UP,8
26UB,9
26UC,1
26UD,2
26UE,3
26UF,4
26UG,5
26UH,6
26UJ,7
26UK,8
26UL,9
29UB,1
29UC,2
29UD,3
29UE,4
29UG,5
29UH,6
29UK,7
29UL,8
29UM,9
29UN,1
29UP,2
29UQ,3
30UD,4
30UE,5
30UF,6
30UG,7
30UH,8
30UJ,9
30UK,1
30UL,2
30UM,3
30UN,4
30UP,5
30UQ,6
31UB,7
31UC,8
31UD,9
31UE,1
31UG,2
31UH,3
31UJ,4
32UB,5
32UC,6
32UD,7
32UE,8
32UF,9
32UG,1
32UH,2
33UB,3
33UC,4
33UD,5
33UE,6
33UF,7
33UG,8
33UH,9
34UB,1
34UC,2
34UD,3
34UE,4
34UF,5
34UG,6
34UH,7
36UB,8
36UC,9
36UD,1
36UE,2
36UF,3
36UG,4
36UH,5
37UB,6
37UC,7
37UD,8
37UE,9
37UF,1
37UG,2
37UJ,3
38UB,4
38UC,5
38UD,6
38UE,7
38UF,8
40UB,9
40UC,1
40UD,2
40UE,3
40UF,4
41UB,5
41UC,6
41UD,7
41UE,8
41UF,9
41UG,1
41UH,2
41UK,3
42UB,4
42UC,5
42UD,6
42UE,7
42UF,8
42UG,9
42UH,1
43UB,2
43UC,3
43UD,4
43UE,5
43UF,6
43UG,7
43UH,8
43UJ,9
43UK,1
43UL,2
43UM,3
44UB,4
44UC,5
44UD,6
44UE,7
44UF,8
45UB,9
45UC,1
45UD,2
45UE,3
45UF,4
45UG,5
45UH,6
47UB,7
47UC,8
47UD,9
47UE,1
47UF,2
47UG,3
00AA,4
00AB,5
00AC,6
00AD,7
00AE,8
00AF,9
00AG,1
00AH,2
00AJ,3
00AK,4
00AL,5
00AM,6
00AN,7
00AP,8
00AQ,9
00AR,1
00AS,2
00AT,3
00AU,4
00AW,5
00AX,6
00AY,7
00AZ,8
00BA,9
00BB,1
00BC,2
00BD,3
00BE,4
00BF,5
00BG,6
00BH,7
00BJ,8
00BK,9
00CC,1
00CN,2
00BL,3
00CX,4
00BM,5
00CY,6
00CW,7
00CQ,8
00CE,9
00CR,1
00CH,2
00CZ,3
00BX,4
00DA,5
00BY,6
00BN,7
00CJ,8
00CK,9
00BP,1
00BQ,2
00CF,3
00BR,4
00CS,5
00CA,6
00CG,7
00CT,8
00CL,9
00BS,1
00BZ,2
00CM,3
00BT,4
00BU,5
00DB,6
00CU,7
00BW,8
00CB,9
00QB,1
00QA,2
00NX,3
00QC,4
00QD,5
00HA,6
00KB,7
00EX,8
00EY,9
00PL,1
00HN,2
00MA,3
00PD,4
00PT,5
00PK,6
00PR,7
00NZ,8
00KC,9
00EQ,1
00EW,2
00HB,3
00FK,4
00QP,5
00FA,6
00FN,7
00FY,8
00JA,9
00HG,1
00MR,2
00MS,3
00GL,4
00QF,5
00NE,6
00HE,7
00EJ,8
00GA,9
00EH,1
00QH,2
00QJ,3
00QK,4
00QL,5
00QM,6
00QN,7
00FB,8
00QQ,9
00QR,1
00QS,2
00NC,3
00ET,4
00EB,5
00QT,6
00QU,7
00HF,8
00MW,9
00KA,1
00LC,2
00PH,3
00EC,4
00QW,5
00MG,6
00QX,7
00RJ,8
00EM,9
00QY,1
00FC,2
00QZ,3
00FD,4
00HC,5
00RA,6
00PB,7
00RB,8
00HP,9
00NN,1
00MC,2
00EE,3
00RC,4
00PF,5
00FP,6
00QE,7
00RD,8
00GG,9
00NS,1
00NQ,2
00NG,3
00PP,4
00NU,5
00NA,6
00NJ,7
00MD,8
00KF,9
00RE,1
00HD,2
00RF,3
00RG,4
00EF,5
00HX,6
00GF,7
00ML,8
00KG,9
00PM,1
00HH,2
00EU,3
00MB,4
00QG,5
00RH,6
00HY,7
00ME,8
00MF,9
00NL,1
00FF,2
