atures,49
atabapo,2
maroa,90
"rio negro",2
autana,91
manapiare,84
"alto orinoco",46
anaco,76
aragua,40
bruzual,11
cajigal,52
freites,80
independencia,23
libertad,70
miranda,59
monagas,10
"simon rodriguez",21
carvajal,65
"santa ana",48
"mc. gregor",38
"san juan de capistrano",16
achaguas,59
muÑoz,14
paez,6
"pedro camejo",22
"romulo gallegos",25
"san fernando",50
biruaca,48
girardot,50
"santiago mariÑo",17
"jose felix ribas",51
sucre,100
"rafael urdaneta",20
"ezequiel zamora",40
libertador,1
"jose angel lamas",11
bolivar,23
"mario briceÑo iragorri",48
tovar,87
camatagua,63
"jose rafael revenga",59
"francisco linares alcantara",39
obispos,43
"antonio jose de sucre",82
pedraza,8
barinas,2
rojas,93
sosa,30
arismendi,68
"cruz paredes",40
arvelo,69
caroni,84
cedeÑo,100
heres,83
piar,91
roscio,22
sifontes,8
"raul leoni",40
"gran sabana",70
"el callao",58
"padre pedro chien",58
bejuma,21
"carlos arvelo",58
"diego ibarra",79
guacara,61
montalban,59
"juan jose mora",90
"puerto cabello",85
"san joaquin",6
valencia,77
"los guayos",48
naguanagua,66
"san diego",15
anzoategui,92
falcon,48
"pao de san juan bautista",24
ricaurte,94
"san carlos",40
tinaco,54
"lima blanco",61
tucupita,81
casacoima,22
acosta,44
buchivacoa,80
carirubana,5
colina,35
democracia,2
federacion,13
mauroa,76
petit,72
silva,72
zamora,34
dabajuro,94
"monseÑor iturriza",29
"los taques",12
piritu,54
union,89
"san francisco",1
jacura,39
"cacique manaure",96
palmasola,78
urumaco,87
tocopero,62
infante,94
mellado,78
ribas,9
zaraza,17
camaguan,71
"san jose de guaribe",50
"las mercedes",72
"el socorro",32
ortiz,30
"santa maria de ipire",94
chaguaramas,76
"san geronimo de guayabal",10
crespo,100
iribarren,11
moran,12
palavecino,13
torres,87
urdaneta,85
"andres eloy blanco",86
"simon planas",20
"alberto adriani",78
"andres bello",14
"arzobispo chacon",32
"campo elias",32
guaraque,3
"julio cesar salas",34
"justo briceÑo",71
"santos marquina",100
"antonio pinto salinas",11
"caracciolo parra olmedo",57
"cardenal quintero",61
"pueblo llano",5
rangel,35
"rivas davila",70
"tulio febres cordero",22
"padre noguera",6
aricagua,20
zea,94
acevedo,38
brion,50
guaicaipuro,88
lander,14
"paz castillo",61
plaza,87
"cristobal rojas",25
"los salias",74
"simon bbolivar",0
baruta,12
carrizal,58
chacao,86
"el hatillo",32
buroz,36
"pedro gual",0
caripe,64
maturin,68
sotillo,3
aguasay,98
"santa barbara",39
uracoa,3
gomez,9
maneiro,96
marcano,64
mariÑo,14
villalba,31
"antolin del campo",34
garcia,37
araure,37
esteller,54
guanare,30
guanarito,76
ospino,4
turen,18
"monseÑor jose vicente de unda",91
"agua blanca",65
papelon,5
"san genaro de boconoito",15
"san rafael de onoto",38
"santa rosalia",5
benitez,28
mejia,97
montes,91
bermudez,60
valdez,33
libbertador,91
"andres mata",24
"cruz salmeron acosta",0
ayacucho,95
cardenas,22
jauregui,39
junin,98
lobatera,32
"san cristobal",35
uribante,61
cordova,46
"garcia de hevia",67
guasimos,95
michelena,84
panamericano,4
"pedro maria ureÑa",49
"fernandez feo",14
libertadtachira,80
"samuel dario maldonado",53
seboruco,32
"antonio romulo acosta",71
"francisco de miranda",18
"jose maria vargas",37
torbes,86
"san judas tadeo",56
"rafael rangel",42
bocono,14
carache,53
escuque,33
trujillo,74
valera,86
"monte carmelo",23
motatan,98
pampan,87
"san rafael de carvajal",17
"jose felipe marquez caÑizalez",19
"juan vicente campo elias",26
"la ceiba",14
nirgua,51
"san felipe",62
urachiche,76
peÑa,98
"jose antonio paez",28
"la trinidad",70
cocorote,81
"aristides bastidas",33
"manuel monge",18
veroes,95
baralt,12
"santa rita",72
colon,27
mara,83
maracaibo,90
"machiques de perija",65
"la caÑada de urdaneta",69
lagunillas,46
catatumbo,6
"rosario de perija",83
cabimas,99
"valmore rodriguez",40
"jesus enrique lossada",57
"almirante padilla",85
"jesus maria semprum",63
"francisco javier pulgar",54
"simon bolivar",72
pampanito,81
candelaria,74
jimenez,98
punceres,95
"peninsula de macanao",25
tubores,60
diaz,70
"antonio diaz",23
"lic. diego bautista urbaneja",88
guanta,40
vargas,4
rubero,20
pedernales,59
guanipa,100
peÑalver,33
"aquiles nazoa",30
avila,26
"santos michelena",16
"san casimiro",19
"san sebastian",91
