Rank,Country,value
1,Mauritius,64.0
2,South Africa,60.3
3,Tunisia,59.7
4,Namibia,51.0
5,Egypt,50.5
6,Botswana,48.3
7,Morocco,44.1
8,"Tanzania, United Republic of",42.7
9,Ghana,42.3
10,Benin,41.4
11,Kenya,41.3
12,Algeria,38.5
13,Senegal,38.0
14,Malawi,37.3
15,Zambia,36.9
16,Uganda,36.8
17,Nigeria,35.7
18,Madagascar,35.2
19,Burkina Faso,34.9
20,Cameroon,32.2
21,Ethiopia,31.3
22,Togo,29.2
24,Chad,25.2
25,Sudan,14.5
1,Canada,80.5
2,United States,76.7
3,Brazil,61.2
4,Chile,60.9
5,Mexico,60.4
6,Uruguay,59.2
7,Panama,58.2
8,Argentina,58.0
9,Costa Rica,54.7
10,Colombia,54.4
11,Peru,53.0
12,Dominican Republic,51.5
13,El Salvador,50.9
14,Paraguay,49.0
15,Honduras,48.2
16,"Venezuela, Bolivarian Republic of",47.4
17,Ecuador,46.5
18,Nicaragua,45.6
19,Bolivia,39.8
1,Sweden,88.2
2,Belgium,86.4
3,Norway,85.3
4,Finland,85.2
5,Germany,83.9
6,Iceland,82.9
7,Netherlands,82.5
8,France,79.4
9,Portugal,78.3
10,Denmark,77.6
11,United Kingdom,76.8
12,Ireland,76.4
13,Hungary,75.3
14,Switzerland,75.0
15,Austria,74.0
16,Bulgaria,73.3
17,Slovenia,73.2
18,Czech Republic,73.1
19,Luxembourg,71.9
20,Lithuania,71.6
21,Spain,70.5
22,Estonia,70.4
23,Greece,69.4
24,Latvia,68.5
25,Italy,68.3
26,Poland,68.0
27,Slovakia,65.2
28,Romania,61.0
29,Croatia,59.8
30,Albania,54.9
31,Ukraine,53.7
32,Serbia,52.7
33,"Moldova, Republic of",51.0
34,Russia,50.3
1,New Zealand,81.2
2,Australia,80.5
1,Hong Kong,72.9
2,Israel,70.2
3,Japan,68.2
4,Singapore,66.7
5,"Korea, Republic of",66.2
6,Thailand,56.8
7,Malaysia,55.3
8,Kazakhstan,52.1
9,Armenia,51.6
10,Philippines,50.4
11,China,49.4
12,Bahrain,49.3
13,Georgia,49.2
14,Turkey,49.2
15,United Arab Emirates,48.6
16,Sri Lanka,47.5
17,Kuwait,46.4
18,Vietnam,43.7
19,Oman,43.7
20,Jordan,43.5
21,Indonesia,43.1
22,India,42.7
23,Azerbaijan,42.5
24,Kyrgyzstan,42.2
25,Lebanon,41.9
26,Cambodia,39.2
27,Saudi Arabia,35.9, 
28,Laos,35.7
29,Iran,33.0
30,Bangladesh,32.6
31,Syria,31.7
32,Pakistan,29.9
33,Yemen,19.2
