zip_code,value
2358,2
2661,2
8625,2
10165,2
16802,2
24011,2
27109,2
29177,2
29423,2
33620,2
36577,2
37228,2
44243,2
47406,2
49115,2
49864,2
51502,2
53706,2
55455,2
58505,2
586XX,2
61091,2
64101,2
65062,2
66506,2
673XX,2
70801,2
717XX,2
720XX,2
744XX,2
747XX,2
814XX,2
815XX,2
83469,2
83671,2
88004,2
884XX,2
89028,2
895XX,2
90263,2
90822,2
919XX,2
92338,2
928XX,2
930XX,2
933XX,2
93522,2
936XX,2
95736,2
95836,2
97817,2
990XX,2
99850,2
85263,2.03
33573,2.05
37201,2.05
25855,2.07
32079,2.07
85351,2.07
85375,2.07
11005,2.09
33945,2.09
37219,2.09
75202,2.09
4541,2.1
22579,2.1
98581,2.1
19732,2.11
34228,2.11
37902,2.11
85614,2.12
20004,2.13
26438,2.14
32798,2.14
33446,2.15
80202,2.15
94105,2.15
2199,2.16
12841,2.16
10503,2.17
167XX,2.17
20037,2.17
83215,2.17
88422,2.17
95497,2.17
982XX,2.17
98833,2.17
19102,2.18
20006,2.18
74103,2.18
77010,2.18
85346,2.18
89039,2.18
95443,2.18
28668,2.19
34201,2.19
49434,2.19
55401,2.19
81127,2.19
98101,2.19
4764,2.2
15222,2.2
25048,2.2
50059,2.2
59081,2.2
77046,2.2
86052,2.2
93424,2.2
95735,2.2
98243,2.2
18503,2.21
75121,2.21
97204,2.21
98121,2.21
2669,2.22
33484,2.22
56741,2.22
89011,2.22
90067,2.22
97205,2.22
4672,2.23
33921,2.23
33924,2.23
51349,2.23
72715,2.23
4852,2.24
12922,2.24
32159,2.24
33931,2.24
53203,2.24
83666,2.24
97209,2.24
98222,2.24
19944,2.25
20036,2.25
22548,2.25
287XX,2.25
32335,2.25
34134,2.25
34949,2.25
47545,2.25
78607,2.25
81330,2.25
82055,2.25
85373,2.25
93554,2.25
97134,2.25
2110,2.26
8759,2.26
32692,2.26
32976,2.26
33946,2.26
59916,2.26
8212,2.27
10005,2.27
22845,2.27
31527,2.27
33956,2.27
47708,2.27
60611,2.27
71909,2.27
96742,2.27
2215,2.28
28745,2.28
34292,2.28
76873,2.28
86430,2.28
92210,2.28
95923,2.28
22509,2.29
33767,2.29
33950,2.29
34481,2.29
46204,2.29
51341,2.29
63102,2.29
78701,2.29
85931,2.29
94111,2.29
99903,2.29
33477,2.3
34141,2.3
34285,2.3
64105,2.3
73571,2.3
83874,2.3
94592,2.3
97877,2.3
98297,2.3
28512,2.31
33715,2.31
556XX,2.31
59348,2.31
72088,2.31
86431,2.31
95113,2.31
24855,2.32
30326,2.32
33062,2.32
53202,2.32
75251,2.32
85325,2.32
99136,2.32
2142,2.33
13640,2.33
17739,2.33
19106,2.33
29338,2.33
313XX,2.33
33957,2.33
37213,2.33
50649,2.33
60601,2.33
60606,2.33
62085,2.33
69219,2.33
76848,2.33
78657,2.33
85367,2.33
871XX,2.33
88040,2.33
89824,2.33
92323,2.33
95728,2.33
96863,2.33
2109,2.34
19103,2.34
33928,2.34
60661,2.34
72424,2.34
86433,2.34
86444,2.34
042XX,2.35
34222,2.35
34242,2.35
67202,2.35
67670,2.35
76888,2.35
83354,2.35
87935,2.35
91948,2.35
96071,2.35
10006,2.36
169XX,2.36
17016,2.36
22964,2.36
31411,2.36
32323,2.36
32410,2.36
32963,2.36
65729,2.36
791XX,2.36
80532,2.36
90292,2.36
97130,2.36
10022,2.37
17731,2.37
19436,2.37
19930,2.37
25002,2.37
27842,2.37
33480,2.37
34986,2.37
38103,2.37
40507,2.37
59465,2.37
72642,2.37
92270,2.37
93530,2.37
96016,2.37
98102,2.37
6510,2.38
10069,2.38
34145,2.38
34210,2.38
34215,2.38
34476,2.38
45642,2.38
54465,2.38
55602,2.38
56657,2.38
75039,2.38
78001,2.38
79406,2.38
82063,2.38
83848,2.38
85545,2.38
86024,2.38
88437,2.38
89046,2.38
93921,2.38
16501,2.39
28467,2.39
29074,2.39
33706,2.39
34465,2.39
54827,2.39
56448,2.39
72619,2.39
78705,2.39
83803,2.39
83821,2.39
83827,2.39
85262,2.39
87083,2.39
90069,2.39
92384,2.39
2713,2.4
25977,2.4
27342,2.4
28374,2.4
32422,2.4
32920,2.4
33437,2.4
33785,2.4
33908,2.4
34223,2.4
37916,2.4
48620,2.4
55402,2.4
55403,2.4
55415,2.4
72661,2.4
80545,2.4
812XX,2.4
82922,2.4
83121,2.4
83463,2.4
93604,2.4
95456,2.4
98365,2.4
2108,2.41
3907,2.41
10017,2.41
23480,2.41
33066,2.41
33708,2.41
34103,2.41
44308,2.41
48226,2.41
49775,2.41
59007,2.41
68102,2.41
72631,2.41
80203,2.41
80510,2.41
88338,2.41
89826,2.41
92091,2.41
97341,2.41
97425,2.41
2114,2.42
11956,2.42
22202,2.42
32169,2.42
36549,2.42
46556,2.42
72512,2.42
73102,2.42
76685,2.42
76874,2.42
79847,2.42
81220,2.42
85553,2.42
86331,2.42
88136,2.42
91719,2.42
92211,2.42
92662,2.42
95984,2.42
98548,2.42
2113,2.43
4554,2.43
4625,2.43
24581,2.43
26268,2.43
30346,2.43
32136,2.43
33955,2.43
34217,2.43
54240,2.43
56685,2.43
78672,2.43
79056,2.43
816XX,2.43
89420,2.43
92108,2.43
95480,2.43
974XX,2.43
2650,2.44
8248,2.44
10016,2.44
17101,2.44
21675,2.44
27927,2.44
29676,2.44
29941,2.44
32966,2.44
33541,2.44
36564,2.44
48633,2.44
61331,2.44
62701,2.44
65079,2.44
66970,2.44
85362,2.44
86351,2.44
93623,2.44
95646,2.44
